,County,City,State,Geog_Area_Type,Gigabit_Fiber_Coverage,Business_Density
25125,Autauga County,Autauga,AL,Total,Good,Moderate
25155,Baldwin County,Baldwin,AL,Total,Moderate,High
25185,Barbour County,Barbour,AL,Total,Limited,Moderate
25215,Bibb County,Bibb,AL,Total,Moderate,Low
25245,Blount County,Blount,AL,Total,Limited,Moderate
25275,Bullock County,Bullock,AL,Total,Excellent,Low
25305,Butler County,Butler,AL,Total,Limited,Low
25335,Calhoun County,Calhoun,AL,Total,Moderate,High
25365,Chambers County,Chambers,AL,Total,Limited,Moderate
25395,Cherokee County,Cherokee,AL,Total,Limited,Moderate
25425,Chilton County,Chilton,AL,Total,Moderate,Moderate
25455,Choctaw County,Choctaw,AL,Total,Limited,Low
25485,Clarke County,Clarke,AL,Total,Limited,Low
25515,Clay County,Clay,AL,Total,Limited,Low
25545,Cleburne County,Cleburne,AL,Total,Limited,Low
25575,Coffee County,Coffee,AL,Total,Excellent,Moderate
25605,Colbert County,Colbert,AL,Total,Limited,Moderate
25635,Conecuh County,Conecuh,AL,Total,Limited,Low
25665,Coosa County,Coosa,AL,Total,Moderate,Low
25695,Covington County,Covington,AL,Total,Excellent,Moderate
25725,Crenshaw County,Crenshaw,AL,Total,Good,Low
25755,Cullman County,Cullman,AL,Total,Good,Moderate
25785,Dale County,Dale,AL,Total,Excellent,Moderate
25815,Dallas County,Dallas,AL,Total,Limited,Moderate
25845,DeKalb County,DeKalb,AL,Total,Good,Moderate
25875,Elmore County,Elmore,AL,Total,Good,Moderate
25905,Escambia County,Escambia,AL,Total,Limited,Moderate
25935,Etowah County,Etowah,AL,Total,Moderate,High
25965,Fayette County,Fayette,AL,Total,Excellent,Low
25995,Franklin County,Franklin,AL,Total,Good,Moderate
26025,Geneva County,Geneva,AL,Total,Moderate,Moderate
26055,Greene County,Greene,AL,Total,Moderate,Low
26085,Hale County,Hale,AL,Total,Limited,Low
26115,Henry County,Henry,AL,Total,Moderate,Low
26145,Houston County,Houston,AL,Total,Good,High
26175,Jackson County,Jackson,AL,Total,Excellent,Moderate
26205,Jefferson County,Jefferson,AL,Total,Moderate,High
26235,Lamar County,Lamar,AL,Total,Excellent,Low
26265,Lauderdale County,Lauderdale,AL,Total,Moderate,High
26295,Lawrence County,Lawrence,AL,Total,Excellent,Moderate
26325,Lee County,Lee,AL,Total,Moderate,High
26355,Limestone County,Limestone,AL,Total,Moderate,High
26385,Lowndes County,Lowndes,AL,Total,Limited,Low
26415,Macon County,Macon,AL,Total,Good,Low
26445,Madison County,Madison,AL,Total,Good,High
26475,Marengo County,Marengo,AL,Total,Moderate,Low
26505,Marion County,Marion,AL,Total,Excellent,Moderate
26535,Marshall County,Marshall,AL,Total,Moderate,Moderate
26565,Mobile County,Mobile,AL,Total,Moderate,High
26595,Monroe County,Monroe,AL,Total,Limited,Low
26625,Montgomery County,Montgomery,AL,Total,Moderate,High
26655,Morgan County,Morgan,AL,Total,Moderate,High
26685,Perry County,Perry,AL,Total,Limited,Low
26715,Pickens County,Pickens,AL,Total,Limited,Low
26745,Pike County,Pike,AL,Total,Excellent,Moderate
26775,Randolph County,Randolph,AL,Total,Limited,Moderate
26805,Russell County,Russell,AL,Total,Moderate,Moderate
26835,St. Clair County,St. Clair,AL,Total,Moderate,Moderate
26865,Shelby County,Shelby,AL,Total,Moderate,High
26895,Sumter County,Sumter,AL,Total,Limited,Low
26925,Talladega County,Talladega,AL,Total,Moderate,Moderate
26955,Tallapoosa County,Tallapoosa,AL,Total,Moderate,Moderate
26985,Tuscaloosa County,Tuscaloosa,AL,Total,Moderate,High
27015,Walker County,Walker,AL,Total,Limited,Moderate
27045,Washington County,Washington,AL,Total,Limited,Low
27075,Wilcox County,Wilcox,AL,Total,Limited,Low
27105,Winston County,Winston,AL,Total,Good,Moderate
27135,Aleutians East Borough,Aleutians East Borough,AK,Total,Limited,Low
27165,Aleutians West Census Area,Aleutians West Census Area,AK,Total,Limited,Low
27195,Anchorage Municipality,Anchorage Municipality,AK,Total,Limited,High
27225,Bethel Census Area,Bethel Census Area,AK,Total,Limited,Low
27255,Bristol Bay Borough,Bristol Bay Borough,AK,Total,Limited,Low
27285,Chugach Census Area,Chugach Census Area,AK,Total,Good,Low
27315,Copper River Census Area,Copper River Census Area,AK,Total,Good,Low
27345,Denali Borough,Denali Borough,AK,Total,Limited,Low
27375,Dillingham Census Area,Dillingham Census Area,AK,Total,Limited,Low
27405,Fairbanks North Star Borough,Fairbanks North Star Borough,AK,Total,Limited,High
27435,Haines Borough,Haines Borough,AK,Total,Limited,Low
27465,Hoonah-Angoon Census Area,Hoonah-Angoon Census Area,AK,Total,Limited,Low
27495,Juneau City and Borough,Juneau City and Borough,AK,Total,Limited,Moderate
27525,Kenai Peninsula Borough,Kenai Peninsula Borough,AK,Total,Limited,Moderate
27555,Ketchikan Gateway Borough,Ketchikan Gateway Borough,AK,Total,Excellent,Low
27585,Kodiak Island Borough,Kodiak Island Borough,AK,Total,Limited,Low
27615,Kusilvak Census Area,Kusilvak Census Area,AK,Total,Limited,Low
27645,Lake and Peninsula Borough,Lake and Peninsula Borough,AK,Total,Limited,Low
27675,Matanuska-Susitna Borough,Matanuska-Susitna Borough,AK,Total,Limited,High
27705,Nome Census Area,Nome Census Area,AK,Total,Limited,Low
27735,North Slope Borough,North Slope Borough,AK,Total,Limited,Low
27765,Northwest Arctic Borough,Northwest Arctic Borough,AK,Total,Limited,Low
27795,Petersburg Borough,Petersburg Borough,AK,Total,Limited,Low
27825,Prince of Wales-Hyder Census Area,Prince of Wales-Hyder Census Area,AK,Total,Limited,Low
27855,Sitka City and Borough,Sitka City and Borough,AK,Total,Limited,Low
27885,Skagway Municipality,Skagway Municipality,AK,Total,Limited,Low
27915,Southeast Fairbanks Census Area,Southeast Fairbanks Census Area,AK,Total,Limited,Low
27945,Wrangell City and Borough,Wrangell City and Borough,AK,Total,Limited,Low
27975,Yakutat City and Borough,Yakutat City and Borough,AK,Total,Limited,Low
28005,Yukon-Koyukuk Census Area,Yukon-Koyukuk Census Area,AK,Total,Limited,Low
28035,Apache County,Apache,AZ,Total,Limited,Moderate
28065,Cochise County,Cochise,AZ,Total,Limited,High
28095,Coconino County,Coconino,AZ,Total,Limited,High
28125,Gila County,Gila,AZ,Total,Limited,Moderate
28155,Graham County,Graham,AZ,Total,Moderate,Moderate
28185,Greenlee County,Greenlee,AZ,Total,Moderate,Low
28215,La Paz County,La Paz,AZ,Total,Limited,Moderate
28245,Maricopa County,Maricopa,AZ,Total,Limited,High
28275,Mohave County,Mohave,AZ,Total,Good,High
28305,Navajo County,Navajo,AZ,Total,Limited,High
28335,Pima County,Pima,AZ,Total,Limited,High
28365,Pinal County,Pinal,AZ,Total,Limited,High
28395,Santa Cruz County,Santa Cruz,AZ,Total,Limited,Moderate
28425,Yavapai County,Yavapai,AZ,Total,Limited,High
28455,Yuma County,Yuma,AZ,Total,Moderate,High
28485,Arkansas County,Arkansas,AR,Total,Good,Low
28515,Ashley County,Ashley,AR,Total,Excellent,Low
28545,Baxter County,Baxter,AR,Total,Excellent,Moderate
28575,Benton County,Benton,AR,Total,Moderate,High
28605,Boone County,Boone,AR,Total,Moderate,Moderate
28635,Bradley County,Bradley,AR,Total,Good,Low
28665,Calhoun County,Calhoun,AR,Total,Excellent,Low
28695,Carroll County,Carroll,AR,Total,Limited,Moderate
28725,Chicot County,Chicot,AR,Total,Limited,Low
28755,Clark County,Clark,AR,Total,Excellent,Low
28785,Clay County,Clay,AR,Total,Good,Low
28815,Cleburne County,Cleburne,AR,Total,Limited,Moderate
28845,Cleveland County,Cleveland,AR,Total,Moderate,Low
28875,Columbia County,Columbia,AR,Total,Good,Low
28905,Conway County,Conway,AR,Total,Moderate,Low
28935,Craighead County,Craighead,AR,Total,Good,High
28965,Crawford County,Crawford,AR,Total,Limited,Moderate
28995,Crittenden County,Crittenden,AR,Total,Moderate,Moderate
29025,Cross County,Cross,AR,Total,Moderate,Low
29055,Dallas County,Dallas,AR,Total,Good,Low
29085,Desha County,Desha,AR,Total,Moderate,Low
29115,Drew County,Drew,AR,Total,Limited,Low
29145,Faulkner County,Faulkner,AR,Total,Limited,High
29175,Franklin County,Franklin,AR,Total,Moderate,Low
29205,Fulton County,Fulton,AR,Total,Excellent,Low
29235,Garland County,Garland,AR,Total,Moderate,High
29265,Grant County,Grant,AR,Total,Excellent,Low
29295,Greene County,Greene,AR,Total,Excellent,Moderate
29325,Hempstead County,Hempstead,AR,Total,Excellent,Low
29355,Hot Spring County,Hot Spring,AR,Total,Good,Moderate
29385,Howard County,Howard,AR,Total,Good,Low
29415,Independence County,Independence,AR,Total,Moderate,Moderate
29445,Izard County,Izard,AR,Total,Excellent,Low
29475,Jackson County,Jackson,AR,Total,Good,Low
29505,Jefferson County,Jefferson,AR,Total,Good,Moderate
29535,Johnson County,Johnson,AR,Total,Moderate,Low
29565,Lafayette County,Lafayette,AR,Total,Excellent,Low
29595,Lawrence County,Lawrence,AR,Total,Excellent,Low
29625,Lee County,Lee,AR,Total,Limited,Low
29655,Lincoln County,Lincoln,AR,Total,Good,Low
29685,Little River County,Little River,AR,Total,Moderate,Low
29715,Logan County,Logan,AR,Total,Moderate,Low
29745,Lonoke County,Lonoke,AR,Total,Moderate,Moderate
29775,Madison County,Madison,AR,Total,Excellent,Low
29805,Marion County,Marion,AR,Total,Moderate,Low
29835,Miller County,Miller,AR,Total,Excellent,Moderate
29865,Mississippi County,Mississippi,AR,Total,Moderate,Moderate
29895,Monroe County,Monroe,AR,Total,Good,Low
29925,Montgomery County,Montgomery,AR,Total,Limited,Low
29955,Nevada County,Nevada,AR,Total,Good,Low
29985,Newton County,Newton,AR,Total,Limited,Low
30015,Ouachita County,Ouachita,AR,Total,Good,Low
30045,Perry County,Perry,AR,Total,Good,Low
30075,Phillips County,Phillips,AR,Total,Limited,Low
30105,Pike County,Pike,AR,Total,Excellent,Low
30135,Poinsett County,Poinsett,AR,Total,Moderate,Low
30165,Polk County,Polk,AR,Total,Limited,Low
30195,Pope County,Pope,AR,Total,Moderate,Moderate
30225,Prairie County,Prairie,AR,Total,Limited,Low
30255,Pulaski County,Pulaski,AR,Total,Moderate,High
30285,Randolph County,Randolph,AR,Total,Moderate,Low
30315,St. Francis County,St. Francis,AR,Total,Moderate,Low
30345,Saline County,Saline,AR,Total,Moderate,High
30375,Scott County,Scott,AR,Total,Limited,Low
30405,Searcy County,Searcy,AR,Total,Excellent,Low
30435,Sebastian County,Sebastian,AR,Total,Good,High
30465,Sevier County,Sevier,AR,Total,Excellent,Low
30495,Sharp County,Sharp,AR,Total,Good,Low
30525,Stone County,Stone,AR,Total,Moderate,Low
30555,Union County,Union,AR,Total,Limited,Moderate
30585,Van Buren County,Van Buren,AR,Total,Excellent,Low
30615,Washington County,Washington,AR,Total,Excellent,High
30645,White County,White,AR,Total,Moderate,Moderate
30675,Woodruff County,Woodruff,AR,Total,Moderate,Low
30705,Yell County,Yell,AR,Total,Good,Low
30735,Alameda County,Alameda,CA,Total,Good,High
30765,Alpine County,Alpine,CA,Total,Limited,Low
30795,Amador County,Amador,CA,Total,Limited,Moderate
30825,Butte County,Butte,CA,Total,Limited,High
30855,Calaveras County,Calaveras,CA,Total,Limited,Moderate
30885,Colusa County,Colusa,CA,Total,Moderate,Low
