,State,County,Population,Risk_Score,Risk_Rating
0,AL,Autauga,58764,49.220489977728285,Relatively Low
1,AL,Baldwin,231365,97.70919503658925,Relatively High
2,AL,Barbour,25160,56.188355074769326,Relatively Low
3,AL,Bibb,22239,32.48488705058861,Very Low
4,AL,Blount,58992,65.12885777919185,Relatively Low
5,AL,Bullock,10326,32.45307031498568,Very Low
6,AL,Butler,19015,54.05663378937321,Relatively Low
7,AL,Calhoun,116250,84.37798281896278,Relatively Moderate
8,AL,Chambers,34738,42.348075087496014,Very Low
9,AL,Cherokee,24933,42.06172446706968,Very Low
10,AL,Chilton,44999,58.54279350938594,Relatively Low
11,AL,Choctaw,12632,74.35571110404072,Relatively Low
12,AL,Clarke,23038,72.0967228762329,Relatively Low
13,AL,Clay,14212,22.36716512885778,Very Low
14,AL,Cleburne,15040,22.55806554247534,Very Low
15,AL,Coffee,53391,89.086859688196,Relatively Moderate
16,AL,Colbert,57133,71.90582246261533,Relatively Low
17,AL,Conecuh,11582,47.534202990773146,Very Low
18,AL,Coosa,10320,7.508749602290806,Very Low
19,AL,Covington,37519,88.70505886096086,Relatively Moderate
20,AL,Crenshaw,13179,46.26153356665606,Very Low
21,AL,Cullman,87660,69.64683423480751,Relatively Low
22,AL,Dale,49224,79.66910594972956,Relatively Low
23,AL,Dallas,38341,57.842825326121535,Relatively Low
24,AL,Dekalb,71379,69.42411708558703,Relatively Low
25,AL,Elmore,87755,57.27012408526885,Relatively Low
26,AL,Escambia,36706,91.37766465160675,Relatively Moderate
27,AL,Etowah,103320,82.24626153356665,Relatively Low
28,AL,Fayette,16298,29.39866369710468,Very Low
29,AL,Franklin,31999,65.47884187082406,Relatively Low
30,AL,Geneva,26621,65.5424753420299,Relatively Low
31,AL,Greene,7714,18.040089086859687,Very Low
32,AL,Hale,14753,33.15303849825008,Very Low
33,AL,Henry,17074,49.88864142538976,Relatively Low
34,AL,Houston,107125,90.67769646834233,Relatively Moderate
35,AL,Jackson,52501,69.93318485523386,Relatively Low
36,AL,Jefferson,673766,96.46834234807507,Relatively High
37,AL,Lamar,13961,29.68501431753102,Very Low
38,AL,Lauderdale,93509,76.36016544702512,Relatively Low
39,AL,Lawrence,33012,60.45179764556157,Relatively Low
40,AL,Lee,173871,70.8240534521158,Relatively Low
41,AL,Limestone,101053,73.59210944957046,Relatively Low
42,AL,Lowndes,10307,26.50334075723831,Very Low
43,AL,Macon,19491,20.999045497931917,Very Low
44,AL,Madison,387825,91.28221444479796,Relatively Moderate
45,AL,Marengo,19291,41.26630607699649,Very Low
46,AL,Marion,29281,57.97009226853325,Relatively Low
47,AL,Marshall,97552,85.17340120903593,Relatively Moderate
48,AL,Mobile,414514,98.79096404708876,Relatively High
49,AL,Monroe,19743,58.892777601018125,Relatively Low
50,AL,Montgomery,228847,86.25517021953547,Relatively Moderate
51,AL,Morgan,123349,88.13235762010818,Relatively Moderate
52,AL,Perry,8480,13.713013044861595,Very Low
53,AL,Pickens,19095,44.82978046452433,Very Low
54,AL,Pike,32965,63.25167037861915,Relatively Low
55,AL,Randolph,21932,29.462297168310528,Very Low
56,AL,Russell,59131,39.26185173401209,Very Low
57,AL,St. Clair,90899,70.79223671651289,Relatively Low
58,AL,Shelby,222782,87.40057270124083,Relatively Moderate
59,AL,Sumter,12322,51.065860642698055,Relatively Low
60,AL,Talladega,81988,71.81037225580656,Relatively Low
61,AL,Tallapoosa,41279,50.0477251034044,Relatively Low
62,AL,Tuscaloosa,226701,87.11422208081451,Relatively Moderate
63,AL,Walker,65276,73.33757556474706,Relatively Low
64,AL,Washington,15333,58.001909004136174,Relatively Low
65,AL,Wilcox,10548,23.003499840916323,Very Low
66,AL,Winston,23478,44.00254533884824,Very Low
67,AK,Aleutians East,3374,4.231625835189309,Very Low
68,AK,Aleutians West,5168,35.22112631244034,Very Low
69,AK,Anchorage,290985,94.84568883232579,Relatively Moderate
70,AK,Bethel,18633,16.926503340757236,Very Low
71,AK,Bristol Bay,843,0.159083678014636,Very Low
72,AK,Chugach,7011,8.017817371937639,Very Low
73,AK,Copper River,2596,2.036271078587337,Very Low
74,AK,Denali,1615,11.708558701877188,Very Low
75,AK,Dillingham,4845,2.163538020999046,Very Low
76,AK,Fairbanks North Star,95579,82.37352847597836,Relatively Low
77,AK,Haines,2080,3.722558065542475,Very Low
78,AK,Hoonah-Angoon,2313,4.708876869233217,Very Low
79,AK,Juneau,32108,19.758192809417757,Very Low
80,AK,Kenai Peninsula,58731,90.96404708876867,Relatively Moderate
81,AK,Ketchikan Gateway,13937,0.381800827235126,Very Low
82,AK,Kodiak Island,13076,68.75596563792556,Relatively Low
83,AK,Kusilvak,8356,3.277123767101495,Very Low
84,AK,Lake And Peninsula,1472,1.654470251352211,Very Low
85,AK,Matanuska-Susitna,107000,88.95959274578429,Relatively Moderate
86,AK,Nome,10031,3.404390709513204,Very Low
87,AK,North Slope,10651,8.940502704422526,Very Low
88,AK,Northwest Arctic,7726,2.068087814190264,Very Low
89,AK,Petersburg,3393,0.44543429844098,Very Low
90,AK,Prince Of Wales-Hyder,5714,0.286350620426344,Very Low
91,AK,Sitka,8434,18.485523385300667,Very Low
92,AK,Skagway,1238,1.463569837734648,Very Low
93,AK,Southeast Fairbanks,6763,58.41552656697423,Relatively Low
94,AK,Wrangell,2120,0.190900413617563,Very Low
95,AK,Yakutat,647,2.608972319440026,Very Low
96,AK,Yukon-Koyukuk,5280,45.052497613744826,Very Low
97,AZ,Apache,65844,43.39802736239262,Very Low
98,AZ,Cochise,125169,85.87336939230033,Relatively Moderate
99,AZ,Coconino,144629,90.23226216990136,Relatively Moderate
100,AZ,Gila,53118,85.26885141584474,Relatively Moderate
101,AZ,Graham,38453,68.18326439707286,Relatively Low
102,AZ,Greenlee,9527,6.967865097041044,Very Low
103,AZ,La Paz,16451,69.01049952274897,Relatively Low
104,AZ,Maricopa,4418836,97.32739420935411,Relatively High
105,AZ,Mohave,212833,88.41870824053451,Relatively Moderate
106,AZ,Navajo,106501,80.94177537384665,Relatively Low
107,AZ,Pima,1042716,94.97295577473751,Relatively Moderate
108,AZ,Pinal,424095,93.12758510976771,Relatively Moderate
109,AZ,Santa Cruz,47632,68.37416481069042,Relatively Low
110,AZ,Yavapai,235830,88.83232580337257,Relatively Moderate
111,AZ,Yuma,203299,91.66401527203308,Relatively Moderate
112,AR,Arkansas,17079,62.10626789691378,Relatively Low
113,AR,Ashley,19013,59.433662106267896,Relatively Low
114,AR,Baxter,41603,73.4966592427617,Relatively Low
115,AR,Benton,284135,87.55965637925549,Relatively Moderate
116,AR,Boone,37314,70.44225262488068,Relatively Low
117,AR,Bradley,10528,30.607699650015903,Very Low
118,AR,Calhoun,4734,11.040407254215715,Very Low
