,REPORTING YEAR,FACILITY NAME,LATITUDE,LONGITUDE,CITY,COUNTY,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e)
0,2023,(430) Civitas Resources - Permian Basin,39.74522001,-104.989197,Denver,Unknown,CO,80202,CIVITAS RESOURCES INC,844548
1,2023,(540) Civitas Resources - Denver Basin,39.74431,-104.98858,Denver,Unknown,CO,80202,CIVITAS RESOURCES INC,887487
2,2023,(540) Civitas Resources - GB - Denver Basin,39.74582152,-104.9892427,Denver,Unknown,CO,80202,CIVITAS RESOURCES INC,110747
3,2023,121 REGIONAL DISPOSAL FACILITY,33.29857,-96.53586,MELISSA,COLLIN COUNTY,TX,75454,NORTH TEXAS MUNICIPAL WATER DISTRICT,288302
4,2023,15-18565/15-18662,37.274127,-83.239034,Hazard,PERRY COUNTY,KY,40701,CAMBRIAN COAL LLC,122327
5,2023,1500 South Tibbs LLC d/b/a Aurorium Indianapolis LLC,39.73,-86.26,Indianapolis,MARION COUNTY,IN,46242,VERTELLUS HOLDINGS LLC,64807
6,2023,1876 CO DJ Basin,39.73652198,-104.98676,Denver,Unknown,CO,80203,"1876 Resources, LLC",27277
7,2023,"1876 Resources, LLC - Denver Basin",39.73652198,-104.98676,Denver,Unknown,CO,80203,CUB CREEK ENERGY LLC,27277
8,2023,220 Gulf Coast Basin,29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP,286498
9,2023,220 Gulf Coast Basin DEC,35.466697,-97.51453,Oklahoma City,Unknown,OK,73102,DEVON ENERGY CORP,1166132
10,2023,23rd and 3rd,40.663,-74.0,BROOKLYN,Kings,NY,11232,NEW YORK POWER AUTHORITY,31916
11,2023,260 East Texas Basin - BP America Production Company,29.78037,-95.6295,Houston,Unknown,TX,77079,BP AMERICA INC,13382
12,2023,30-30 Gas Plant,33.05188,-102.88792,Plains,YOAKUM COUNTY,TX,79355,STAKEHOLDER GAS SERVICES LLC,44171
13,2023,31st Street Landfill,41.834962,-87.916392,WESTCHESTER,COOK COUNTY,IL,60154,CATHOLIC BISHOP OF CHICAGO,29264
14,2023,345 Arkoma Basin,29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP,92930
15,2023,350 South Oklahoma Folded Belt,29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP,89986
16,2023,360 Anadarko Basin,35.56719,-97.49827,Oklahoma City,Unknown,OK,73142,CHAPARRAL ENERGY INC,182531
17,2023,360 Anadarko Basin,29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP,240664
18,2023,360 Anadarko Basin DEC,35.466697,-97.51453,Oklahoma City,Unknown,OK,73102,DEVON ENERGY CORP,310278
19,2023,360 Anadarko Camino Production,39.75164151,-104.9966423,Denver,Unknown,CO,80202,CAMINO NATURAL RESOURCES LLC,125092
20,2023,375 Sedgwick Basin,29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP,33057
21,2023,395 Williston Basin,29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (55%); BLACKSTONE GSO HOLDINGS LLC,132909
22,2023,395 Williston Basin GB WPX,35.46715529,-97.51773636,OKLAHOMA CITY,Unknown,OK,73102,DEVON ENERGY CORP,26472
23,2023,3M BROWNWOOD,31.671177,-98.996513,BROWNWOOD,BROWN COUNTY,TX,76801,3M CO,22883
24,2023,3M CO,44.951,-92.9959,MAPLEWOOD,RAMSEY COUNTY,MN,55144,3M CO,77909
25,2023,3M CO - GUIN,33.96548,-87.89936,GUIN,MARION COUNTY,AL,35563,3M CO,30098
26,2023,3M CO - WAUSAU DOWNTOWN,44.95018,-89.63766,WAUSAU,MARATHON COUNTY,WI,54401,3M CO,35941
27,2023,3M Chemical Operations' Cordova Facility,41.755,-90.284167,CORDOVA,ROCK ISLAND COUNTY,IL,61242,3M CO,637397
28,2023,3M Chemical Operations' Cottage Grove Facility,44.789444,-92.908333,Cottage Grove,WASHINGTON COUNTY,MN,55016,3M CO,20825
29,2023,3M Chemical Operations' Decatur Facility,34.641667,-87.038611,DECATUR,MORGAN COUNTY,AL,35609,3M CO,37564
30,2023,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,34.70537,-92.24607,LITTLE ROCK,PULASKI COUNTY,AR,72206,3M CO,32129
31,2023,3M MAGNETIC TAPE MANUFACTURING DIVISION,44.879677,-94.359598,HUTCHINSON,MCLEOD COUNTY,MN,55350,3M CO,53953
32,2023,3M NEVADA PLANT,37.834476,-94.330625,NEVADA,VERNON COUNTY,MO,64772,3M CO,31394
33,2023,3M Pittsboro,35.660546,-79.176782,Moncure,Unknown,NC,27559,3M CO,27051
34,2023,415 Strawn BKV  GB,32.78882,-97.34363,FORT WORTH,Unknown,TX,76106,BKV CORP,163140
35,2023,415 Strawn Basin BKV - Production,35.4711808,-97.516602,FORT WORTH,Unknown,TX,76106,BKV CORP,600459
36,2023,420 Fort Worth Syncline,29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP,162594
37,2023,420 Fort Worth Syncline BKV  GB,32.78882,-97.34363,Fort Worth,Unknown,TX,76106,BKV CORP,27713
38,2023,420 Fort Worth Syncline BKV - Production,35.466697,-97.51453,Bridgeport,Unknown,TX,76426,BKV CORP,664355
39,2023,425 Bend Arch,29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP,29618
40,2023,430 - Permian Basin - Pinon,29.77706001,-95.619326,Houston,Unknown,TX,77079,PINON MIDSTREAM LLC,116847
41,2023,430 Cotton Draw Midstream,35.46713402,-97.5177769,Oklahoma City,Unknown,OK,73102,COTTON DRAW MIDSTREAM LLC,219519
42,2023,430 Permian Basin,29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP,3604780
