,Region,State,Annual_Region_Demand_MWh
0,CAL,CA,726482.2301369864
1,CAL,CA,726482.2301369864
2,CAL,CA,726482.2301369864
3,CAL,CA,726482.2301369864
4,CAL,CA,726482.2301369864
5,CAL,CA,726482.2301369864
6,CAL,CA,726482.2301369864
7,CAL,CA,726482.2301369864
8,CAL,CA,726482.2301369864
9,CAL,CA,726482.2301369864
10,CAL,CA,726482.2301369864
11,CAL,CA,726482.2301369864
12,CAL,CA,726482.2301369864
13,CAL,CA,726482.2301369864
14,CAL,CA,726482.2301369864
15,CAL,CA,726482.2301369864
16,CAL,CA,726482.2301369864
17,CAL,CA,726482.2301369864
18,CAL,CA,726482.2301369864
19,CAL,CA,726482.2301369864
20,CAL,CA,726482.2301369864
21,CAL,CA,726482.2301369864
22,CAL,CA,726482.2301369864
23,CAL,CA,726482.2301369864
24,CAL,CA,726482.2301369864
25,CAL,CA,726482.2301369864
26,CAL,CA,726482.2301369864
27,CAL,CA,726482.2301369864
28,CAL,CA,726482.2301369864
29,CAL,CA,726482.2301369864
30,CAL,CA,726482.2301369864
31,CAL,CA,726482.2301369864
32,CAL,CA,726482.2301369864
33,CAL,CA,726482.2301369864
34,CAL,CA,726482.2301369864
35,CAL,CA,726482.2301369864
36,CAL,CA,726482.2301369864
37,CAL,CA,726482.2301369864
38,CAL,CA,726482.2301369864
39,CAL,CA,726482.2301369864
40,CAL,CA,726482.2301369864
41,CAL,CA,726482.2301369864
42,CAL,CA,726482.2301369864
43,CAL,CA,726482.2301369864
44,CAL,CA,726482.2301369864
45,CAL,CA,726482.2301369864
46,CAL,CA,726482.2301369864
47,CAL,CA,726482.2301369864
48,CAL,CA,726482.2301369864
49,CAL,CA,726482.2301369864
50,CAL,CA,726482.2301369864
51,CAL,CA,726482.2301369864
52,CAL,CA,726482.2301369864
53,CAL,CA,726482.2301369864
54,CAL,CA,726482.2301369864
55,CAL,CA,726482.2301369864
56,CAL,CA,726482.2301369864
57,CAL,CA,726482.2301369864
58,CAL,CA,726482.2301369864
59,CAL,CA,726482.2301369864
60,CAL,CA,726482.2301369864
61,CAL,CA,726482.2301369864
62,CAL,CA,726482.2301369864
63,CAL,CA,726482.2301369864
64,CAL,CA,726482.2301369864
65,CAL,CA,726482.2301369864
66,CAL,CA,726482.2301369864
67,CAL,CA,726482.2301369864
68,CAL,CA,726482.2301369864
69,CAL,CA,726482.2301369864
70,CAL,CA,726482.2301369864
71,CAL,CA,726482.2301369864
72,CAL,CA,726482.2301369864
73,CAL,CA,726482.2301369864
74,CAL,CA,726482.2301369864
75,CAL,CA,726482.2301369864
76,CAL,CA,726482.2301369864
77,CAL,CA,726482.2301369864
78,CAL,CA,726482.2301369864
79,CAL,CA,726482.2301369864
80,CAL,CA,726482.2301369864
81,CAL,CA,726482.2301369864
82,CAL,CA,726482.2301369864
83,CAL,CA,726482.2301369864
84,CAL,CA,726482.2301369864
85,CAL,CA,726482.2301369864
86,CAL,CA,726482.2301369864
87,CAL,CA,726482.2301369864
88,CAL,CA,726482.2301369864
89,CAL,CA,726482.2301369864
90,CAL,CA,726482.2301369864
91,CAL,CA,726482.2301369864
92,CAL,CA,726482.2301369864
93,CAL,CA,726482.2301369864
94,CAL,CA,726482.2301369864
95,CAL,CA,726482.2301369864
96,CAL,CA,726482.2301369864
97,CAL,CA,726482.2301369864
98,CAL,CA,726482.2301369864
99,CAL,CA,726482.2301369864
100,CAL,CA,726482.2301369864
101,CAL,CA,726482.2301369864
102,CAL,CA,726482.2301369864
103,CAL,CA,726482.2301369864
104,CAL,CA,726482.2301369864
105,CAL,CA,726482.2301369864
106,CAL,CA,726482.2301369864
107,CAL,CA,726482.2301369864
108,CAL,CA,726482.2301369864
109,CAL,CA,726482.2301369864
110,CAL,CA,726482.2301369864
111,CAL,CA,726482.2301369864
112,CAL,CA,726482.2301369864
113,CAL,CA,726482.2301369864
114,CAL,CA,726482.2301369864
115,CAL,CA,726482.2301369864
116,CAL,CA,726482.2301369864
117,CAL,CA,726482.2301369864
118,CAL,CA,726482.2301369864
119,CAL,CA,726482.2301369864
120,CAL,CA,726482.2301369864
121,CAL,CA,726482.2301369864
122,CAL,CA,726482.2301369864
123,CAL,CA,726482.2301369864
124,CAL,CA,726482.2301369864
125,CAL,CA,726482.2301369864
126,CAL,CA,726482.2301369864
127,CAL,CA,726482.2301369864
128,CAL,CA,726482.2301369864
129,CAL,CA,726482.2301369864
130,CAL,CA,726482.2301369864
131,CAL,CA,726482.2301369864
132,CAL,CA,726482.2301369864
133,CAL,CA,726482.2301369864
134,CAL,CA,726482.2301369864
135,CAL,CA,726482.2301369864
136,CAL,CA,726482.2301369864
137,CAL,CA,726482.2301369864
138,CAL,CA,726482.2301369864
139,CAL,CA,726482.2301369864
140,CAL,CA,726482.2301369864
141,CAL,CA,726482.2301369864
142,CAL,CA,726482.2301369864
143,CAL,CA,726482.2301369864
144,CAL,CA,726482.2301369864
145,CAL,CA,726482.2301369864
146,CAL,CA,726482.2301369864
147,CAL,CA,726482.2301369864
148,CAL,CA,726482.2301369864
149,CAL,CA,726482.2301369864
150,CAL,CA,726482.2301369864
151,CAL,CA,726482.2301369864
152,CAL,CA,726482.2301369864
153,CAL,CA,726482.2301369864
154,CAL,CA,726482.2301369864
155,CAL,CA,726482.2301369864
156,CAL,CA,726482.2301369864
157,CAL,CA,726482.2301369864
158,CAL,CA,726482.2301369864
159,CAL,CA,726482.2301369864
160,CAL,CA,726482.2301369864
161,CAL,CA,726482.2301369864
162,CAL,CA,726482.2301369864
163,CAL,CA,726482.2301369864
164,CAL,CA,726482.2301369864
165,CAL,CA,726482.2301369864
166,CAL,CA,726482.2301369864
167,CAL,CA,726482.2301369864
168,CAL,CA,726482.2301369864
169,CAL,CA,726482.2301369864
170,CAL,CA,726482.2301369864
171,CAL,CA,726482.2301369864
172,CAL,CA,726482.2301369864
173,CAL,CA,726482.2301369864
174,CAL,CA,726482.2301369864
175,CAL,CA,726482.2301369864
176,CAL,CA,726482.2301369864
177,CAL,CA,726482.2301369864
