,State,Total_Generation_Rank,Electric_Generation_Rank,Commercial_Generation_Rank,Capacity_Growth_Status
0,CT,Moderate,Low,Moderate,Growing
2,MA,Low,Low,High,Growing
4,RI,Low,Low,Low,Shrinking
5,VT,Low,Low,Low,Shrinking
6,NJ,Moderate,Low,High,Shrinking
7,NY,High,Moderate,High,Growing
8,PA,High,Low,High,Growing
9,IL,High,Low,High,Growing
10,IN,Moderate,Moderate,Moderate,Growing
11,MI,High,High,High,Growing
12,OH,High,Moderate,Moderate,Growing
13,WI,Moderate,Moderate,Moderate,Shrinking
14,IA,Moderate,Moderate,Moderate,Shrinking
16,MN,Moderate,Moderate,Moderate,Growing
17,MO,Moderate,Moderate,Moderate,Growing
18,NE,Low,Moderate,Low,Shrinking
19,ND,Low,Moderate,Low,Growing
23,FL,High,High,High,Shrinking
25,MD,Low,Low,High,Shrinking
26,NC,High,High,Moderate,Growing
27,SC,Moderate,High,Low,Shrinking
28,VA,High,High,High,Growing
29,WV,Moderate,Moderate,Low,Growing
30,AL,High,High,Low,Growing
32,MS,Moderate,High,Low,Shrinking
33,TN,Moderate,Moderate,Moderate,Shrinking
36,OK,High,Moderate,Low,Growing
37,TX,High,High,High,Shrinking
38,AZ,High,High,Moderate,Growing
39,CO,Moderate,Moderate,Low,Shrinking
40,ID,Low,Moderate,Low,Shrinking
42,NV,Moderate,Moderate,Moderate,Growing
43,NM,Low,Moderate,Moderate,Shrinking
44,UT,Low,Moderate,Moderate,Shrinking
45,WY,Low,Moderate,Low,Shrinking
46,CA,High,High,High,Shrinking
47,OR,Moderate,Moderate,Low,Growing
49,AK,Low,Low,High,Growing
50,HI,Low,Low,High,Growing
