,City,State,Total Generation Rank,Electric Generation Rank,Commercial Generation Rank,Capacity Growth Status,CAIDI w/ Major Events,CAIDI w/o Major Events,SAIFI Major Events,Utility Annual Energy Savings (MWh),Utility Peak Demand Savings (MW),Utility Annual Incentive Cost ($),Utility Commercial Avg Life (Yrs),Regional Electricity Demand,IXP_Count,Total MWh Rank,Purchased Rank,County,Gigabit_Fiber_Coverage,Business_Density
0,Anchorage,AK,Low,Low,High,Growing,138.8,137.6,High,Unknown,Unknown,Unknown,Unknown,Moderate,1,High,Moderate,Anchorage Municipality County,Unknown,Unknown
1,Anchorage,AK,Low,Low,High,Growing,138.8,137.6,High,Unknown,Unknown,Unknown,Unknown,Moderate,1,High,Moderate,Kenai Peninsula County,Unknown,Unknown
2,Anchorage,AK,Low,Low,High,Growing,138.8,137.6,High,Unknown,Unknown,Unknown,Unknown,Moderate,1,High,Moderate,Kenai Peninsula Borough County,Unknown,Unknown
3,Montgomery,AL,High,High,Low,Growing,186.9,122.8,Moderate,Low,Moderate,Low,Low,Low,2,Unknown,Unknown,Montgomery County,Moderate,High
4,Auburn,AL,High,High,Low,Growing,186.9,122.8,Moderate,Low,Moderate,Low,Low,Low,2,Unknown,Unknown,Lee County,Unknown,Unknown
5,Montgomery,AL,High,High,Low,Growing,186.9,122.8,Moderate,Low,Low,Low,Moderate,Low,2,Unknown,Unknown,Montgomery County,Moderate,High
6,Auburn,AL,High,High,Low,Growing,186.9,122.8,Moderate,Low,Low,Low,Moderate,Low,2,Unknown,Unknown,Lee County,Unknown,Unknown
7,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,High,High,Moderate,Low,8,High,High,Maricopa County,Unknown,Unknown
8,Flagstaff,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,High,High,Moderate,Low,8,Unknown,Unknown,Coconino County,Unknown,Unknown
9,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,High,High,Moderate,Low,8,High,High,Maricopa County,Unknown,Unknown
10,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,High,High,Moderate,Low,8,High,High,Maricopa County,Unknown,Unknown
11,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,High,High,Moderate,Low,8,High,High,Maricopa County,Unknown,Unknown
12,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,High,High,Moderate,Low,8,High,High,Maricopa County,Unknown,Unknown
13,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,High,High,Moderate,Low,8,High,High,Maricopa County,Unknown,Unknown
14,Tucson,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,High,High,Moderate,Low,8,High,High,Pima County,Unknown,Unknown
15,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,High,High,Moderate,Low,8,High,High,Maricopa County,Unknown,Unknown
16,Flagstaff,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,High,High,Moderate,Low,8,Unknown,Unknown,Coconino County,Unknown,Unknown
17,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,High,High,Moderate,Low,8,High,High,Maricopa County,Unknown,Unknown
18,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,High,High,Moderate,Low,8,High,High,Maricopa County,Unknown,Unknown
19,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,High,High,Moderate,Low,8,High,High,Maricopa County,Unknown,Unknown
20,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,High,High,Moderate,Low,8,High,High,Maricopa County,Unknown,Unknown
21,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,High,High,Moderate,Low,8,High,High,Maricopa County,Unknown,Unknown
22,Tucson,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,High,High,High,Moderate,Low,8,High,High,Pima County,Unknown,Unknown
23,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,Moderate,Moderate,Low,Low,Low,8,High,High,Maricopa County,Unknown,Unknown
24,Flagstaff,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,Moderate,Moderate,Low,Low,Low,8,Unknown,Unknown,Coconino County,Unknown,Unknown
25,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,Moderate,Moderate,Low,Low,Low,8,High,High,Maricopa County,Unknown,Unknown
26,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,Moderate,Moderate,Low,Low,Low,8,High,High,Maricopa County,Unknown,Unknown
27,Phoenix,AZ,High,High,Moderate,Growing,108.6,84.8,Moderate,Moderate,Moderate,Low,Low,Low,8,High,High,Maricopa County,Unknown,Unknown
