,State,County,IXP_Count,Regional Electricity Demand,Utility Annual Energy Savings (MWh),SAIFI Major Events,CAIDI w/o Major Events,CAIDI w/ Major Events,Commercial Generation Rank,Total Generation Rank
0,AK,Anchorage Municipality County,1,Moderate,Unknown,High,137.6,138.8,High,Low
1,AK,Kenai Peninsula County,1,Moderate,Unknown,High,137.6,138.8,High,Low
2,AK,Kenai Peninsula Borough County,1,Moderate,Unknown,High,137.6,138.8,High,Low
3,AL,Montgomery County,2,Low,Low,Moderate,122.8,186.9,Low,High
4,AL,Lee County,2,Low,Low,Moderate,122.8,186.9,Low,High
5,AL,Montgomery County,2,Low,Low,Moderate,122.8,186.9,Low,High
6,AL,Lee County,2,Low,Low,Moderate,122.8,186.9,Low,High
7,AZ,Maricopa County,8,Low,High,Moderate,84.8,108.6,Moderate,High
8,AZ,Coconino County,8,Low,High,Moderate,84.8,108.6,Moderate,High
9,AZ,Maricopa County,8,Low,High,Moderate,84.8,108.6,Moderate,High
10,AZ,Maricopa County,8,Low,High,Moderate,84.8,108.6,Moderate,High
11,AZ,Maricopa County,8,Low,High,Moderate,84.8,108.6,Moderate,High
12,AZ,Maricopa County,8,Low,High,Moderate,84.8,108.6,Moderate,High
13,AZ,Maricopa County,8,Low,High,Moderate,84.8,108.6,Moderate,High
14,AZ,Pima County,8,Low,High,Moderate,84.8,108.6,Moderate,High
15,AZ,Maricopa County,8,Low,High,Moderate,84.8,108.6,Moderate,High
16,AZ,Coconino County,8,Low,High,Moderate,84.8,108.6,Moderate,High
17,AZ,Maricopa County,8,Low,High,Moderate,84.8,108.6,Moderate,High
18,AZ,Maricopa County,8,Low,High,Moderate,84.8,108.6,Moderate,High
19,AZ,Maricopa County,8,Low,High,Moderate,84.8,108.6,Moderate,High
20,AZ,Maricopa County,8,Low,High,Moderate,84.8,108.6,Moderate,High
21,AZ,Maricopa County,8,Low,High,Moderate,84.8,108.6,Moderate,High
22,AZ,Pima County,8,Low,High,Moderate,84.8,108.6,Moderate,High
23,AZ,Maricopa County,8,Low,Moderate,Moderate,84.8,108.6,Moderate,High
24,AZ,Coconino County,8,Low,Moderate,Moderate,84.8,108.6,Moderate,High
25,AZ,Maricopa County,8,Low,Moderate,Moderate,84.8,108.6,Moderate,High
26,AZ,Maricopa County,8,Low,Moderate,Moderate,84.8,108.6,Moderate,High
27,AZ,Maricopa County,8,Low,Moderate,Moderate,84.8,108.6,Moderate,High
28,AZ,Maricopa County,8,Low,Moderate,Moderate,84.8,108.6,Moderate,High
29,AZ,Maricopa County,8,Low,Moderate,Moderate,84.8,108.6,Moderate,High
30,AZ,Pima County,8,Low,Moderate,Moderate,84.8,108.6,Moderate,High
31,AZ,Maricopa County,8,Low,Low,Moderate,84.8,108.6,Moderate,High
32,AZ,Coconino County,8,Low,Low,Moderate,84.8,108.6,Moderate,High
33,AZ,Maricopa County,8,Low,Low,Moderate,84.8,108.6,Moderate,High
34,AZ,Maricopa County,8,Low,Low,Moderate,84.8,108.6,Moderate,High
35,AZ,Maricopa County,8,Low,Low,Moderate,84.8,108.6,Moderate,High
36,AZ,Maricopa County,8,Low,Low,Moderate,84.8,108.6,Moderate,High
37,AZ,Maricopa County,8,Low,Low,Moderate,84.8,108.6,Moderate,High
38,AZ,Pima County,8,Low,Low,Moderate,84.8,108.6,Moderate,High
39,AZ,Maricopa County,8,Low,High,Moderate,84.8,108.6,Moderate,High
40,AZ,Coconino County,8,Low,High,Moderate,84.8,108.6,Moderate,High
41,AZ,Maricopa County,8,Low,High,Moderate,84.8,108.6,Moderate,High
42,AZ,Maricopa County,8,Low,High,Moderate,84.8,108.6,Moderate,High
43,AZ,Maricopa County,8,Low,High,Moderate,84.8,108.6,Moderate,High
44,AZ,Maricopa County,8,Low,High,Moderate,84.8,108.6,Moderate,High
45,AZ,Maricopa County,8,Low,High,Moderate,84.8,108.6,Moderate,High
46,AZ,Pima County,8,Low,High,Moderate,84.8,108.6,Moderate,High
47,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
48,CA,San Francisco County,27,Low,Low,Moderate,140.0,248.1,High,High
49,CA,Santa Clara County,27,Low,Low,Moderate,140.0,248.1,High,High
50,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
51,CA,Los Angeles County,27,Low,Low,Moderate,140.0,248.1,High,High
52,CA,Los Angeles County,27,Low,Low,Moderate,140.0,248.1,High,High
53,CA,Unknown,27,Low,Low,Moderate,140.0,248.1,High,High
54,CA,Unknown,27,Low,Low,Moderate,140.0,248.1,High,High
55,CA,Los Angeles County,27,Low,Low,Moderate,140.0,248.1,High,High
56,CA,Santa Clara County,27,Low,Low,Moderate,140.0,248.1,High,High
57,CA,Santa Clara County,27,Low,Low,Moderate,140.0,248.1,High,High
58,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
59,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
60,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
61,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
62,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
63,CA,San Francisco County,27,Low,Low,Moderate,140.0,248.1,High,High
64,CA,Los Angeles County,27,Low,Low,Moderate,140.0,248.1,High,High
65,CA,Los Angeles County,27,Low,Low,Moderate,140.0,248.1,High,High
66,CA,Unknown,27,Low,Low,Moderate,140.0,248.1,High,High
67,CA,Los Angeles County,27,Low,Low,Moderate,140.0,248.1,High,High
68,CA,Sacramento County,27,Low,Low,Moderate,140.0,248.1,High,High
69,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
70,CA,Santa Clara County,27,Low,Low,Moderate,140.0,248.1,High,High
71,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
72,CA,San Francisco County,27,Low,Low,Moderate,140.0,248.1,High,High
73,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
74,CA,Unknown,27,Low,Low,Moderate,140.0,248.1,High,High
75,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
76,CA,Santa Clara County,27,Low,Low,Moderate,140.0,248.1,High,High
77,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
78,CA,San Francisco County,27,Low,Low,Moderate,140.0,248.1,High,High
79,CA,Santa Clara County,27,Low,Low,Moderate,140.0,248.1,High,High
80,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
81,CA,Los Angeles County,27,Low,Low,Moderate,140.0,248.1,High,High
82,CA,Los Angeles County,27,Low,Low,Moderate,140.0,248.1,High,High
83,CA,Unknown,27,Low,Low,Moderate,140.0,248.1,High,High
84,CA,Unknown,27,Low,Low,Moderate,140.0,248.1,High,High
85,CA,Los Angeles County,27,Low,Low,Moderate,140.0,248.1,High,High
86,CA,Santa Clara County,27,Low,Low,Moderate,140.0,248.1,High,High
87,CA,Santa Clara County,27,Low,Low,Moderate,140.0,248.1,High,High
88,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
89,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
90,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
91,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
92,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
93,CA,San Francisco County,27,Low,Low,Moderate,140.0,248.1,High,High
94,CA,Los Angeles County,27,Low,Low,Moderate,140.0,248.1,High,High
95,CA,Los Angeles County,27,Low,Low,Moderate,140.0,248.1,High,High
96,CA,Unknown,27,Low,Low,Moderate,140.0,248.1,High,High
97,CA,Los Angeles County,27,Low,Low,Moderate,140.0,248.1,High,High
98,CA,Sacramento County,27,Low,Low,Moderate,140.0,248.1,High,High
99,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
100,CA,Santa Clara County,27,Low,Low,Moderate,140.0,248.1,High,High
101,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
102,CA,San Francisco County,27,Low,Low,Moderate,140.0,248.1,High,High
103,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
104,CA,Unknown,27,Low,Low,Moderate,140.0,248.1,High,High
105,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
106,CA,Santa Clara County,27,Low,Low,Moderate,140.0,248.1,High,High
107,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
108,CA,San Francisco County,27,Low,Low,Moderate,140.0,248.1,High,High
109,CA,Santa Clara County,27,Low,Low,Moderate,140.0,248.1,High,High
110,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
111,CA,Los Angeles County,27,Low,Low,Moderate,140.0,248.1,High,High
112,CA,Los Angeles County,27,Low,Low,Moderate,140.0,248.1,High,High
113,CA,Unknown,27,Low,Low,Moderate,140.0,248.1,High,High
114,CA,Unknown,27,Low,Low,Moderate,140.0,248.1,High,High
115,CA,Los Angeles County,27,Low,Low,Moderate,140.0,248.1,High,High
116,CA,Santa Clara County,27,Low,Low,Moderate,140.0,248.1,High,High
117,CA,Santa Clara County,27,Low,Low,Moderate,140.0,248.1,High,High
118,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
119,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
120,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
121,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
122,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
123,CA,San Francisco County,27,Low,Low,Moderate,140.0,248.1,High,High
124,CA,Los Angeles County,27,Low,Low,Moderate,140.0,248.1,High,High
125,CA,Los Angeles County,27,Low,Low,Moderate,140.0,248.1,High,High
126,CA,Unknown,27,Low,Low,Moderate,140.0,248.1,High,High
127,CA,Los Angeles County,27,Low,Low,Moderate,140.0,248.1,High,High
128,CA,Sacramento County,27,Low,Low,Moderate,140.0,248.1,High,High
129,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
130,CA,Santa Clara County,27,Low,Low,Moderate,140.0,248.1,High,High
131,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
132,CA,San Francisco County,27,Low,Low,Moderate,140.0,248.1,High,High
133,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
134,CA,Unknown,27,Low,Low,Moderate,140.0,248.1,High,High
135,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
136,CA,Santa Clara County,27,Low,Low,Moderate,140.0,248.1,High,High
137,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
138,CA,San Francisco County,27,Low,Low,Moderate,140.0,248.1,High,High
139,CA,Santa Clara County,27,Low,Low,Moderate,140.0,248.1,High,High
140,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
141,CA,Los Angeles County,27,Low,Low,Moderate,140.0,248.1,High,High
142,CA,Los Angeles County,27,Low,Low,Moderate,140.0,248.1,High,High
143,CA,Unknown,27,Low,Low,Moderate,140.0,248.1,High,High
144,CA,Unknown,27,Low,Low,Moderate,140.0,248.1,High,High
145,CA,Los Angeles County,27,Low,Low,Moderate,140.0,248.1,High,High
146,CA,Santa Clara County,27,Low,Low,Moderate,140.0,248.1,High,High
147,CA,Santa Clara County,27,Low,Low,Moderate,140.0,248.1,High,High
148,CA,Alameda County,27,Low,Low,Moderate,140.0,248.1,High,High
