,IXP Name,City,State
0,48 IX,Phoenix,AZ
1,ABQIX,Albuquerque,NM
2,AlaskaIX,Anchorage,AK
3,Amateur Radio Internet Exchange - ARIX,Fremont,CA
4,Amateur Radio Internet Exchange - ARIX,Portland,OR
5,Amateur Radio Internet Exchange - ARIX,Flagstaff,AZ
6,AMS-IX Bay Area,San Francisco,CA
7,AMS-IX Bay Area,San Jose,CA
8,AMS-IX Chicago,Chicago,IL
9,Arizona Internet Exchange - AZIX,Phoenix,AZ
10,Baltimore Internet Exchange - Baltimore IX,Baltimore,MD
11,BGP.Exchange - Chicago,Chicago,IL
12,BGP.Exchange - Fremont,Fremont,CA
13,BGP.Exchange - Kansas,Kansas City,KS
14,BGP.Exchange - Los Angeles,Los Angeles,CA
15,BGP.Exchange - Miami,Miami,FL
16,BGP.Exchange - New York,New York,NY
17,Boston Internet Exchange,Boston,MA
18,BroadBand Internet Exchange Chicago - BBIX Chicago,Chicago,IL
19,BroadBand Internet Exchange Dallas - BBIX Dallas,Dallas,TX
20,BroadBand Internet Exchange Miami - BBIX Miami,Miami,FL
21,BroadBand Internet Exchange US-West - BBIX US-West,West Coast,
22,Buffalo Niagara International Internet Exchange - BNIIX,Buffalo,NY
23,Central Florida Internet Exchange - CFLIX,Orlando,FL
24,Central Michigan Internet Exchange - CM-IX,Mount Pleasant,MI
25,Central Oregon Internet Exchange,Bend,OR
26,Chicago Internet Exchange - ChIX,Chicago,IL
27,Cleveland Internet Exchange - CL-IX,Cleveland,OH
28,Columbus Internet Exchange - CMH-IX,Columbus,OH
29,Community IX - Atlanta - CIX-ATL,Atlanta,GA
30,CoreSite - Any2Chicago,Chicago,IL
31,CoreSite - Any2Denver,Denver,CO
32,CoreSite - Any2East,Washington DC,
33,CoreSite - Any2East,Reston,VA
34,CoreSite - Any2East,Boston,MA
35,CoreSite - Any2East,New York,NY
36,CoreSite - Any2East,Atlanta,GA
37,CoreSite - Any2West,Los Angeles,CA
38,CoreSite - Any2West,Silicon Valley,CA
39,CyrusOne Internet Exchange - CyrusOne IX Austin,Austin,TX
40,CyrusOne Internet Exchange - CyrusOne IX Dallas,Dallas,TX
41,CyrusOne Internet Exchange - CyrusOne IX Phoenix,Phoenix,AZ
42,DACS-IX Central Region,Chicago,IL
43,DACS-IX East Region,Baltimore,MD
44,DACS-IX West Region,Silicon Valley,CA
45,Dallas Internet Exchange Point - DFW-IX,Dallas,TX
46,DartNode IXP - DartNode IXP - Houston,Houston,Texas
47,Databank Internet Exchange - Databank IX Houston,Houston,TX
48,DE-CIX Chicago,Chicago,IL
49,DE-CIX Dallas,Dallas,TX
50,DE-CIX New York,New York,NY
51,DE-CIX Phoenix,Phoenix,AZ
52,DE-CIX Richmond,Ashland,VA
53,Denver IX,Denver,CO
54,DesMoines Internet Exchange - DesMoinesIX,Des Moines,IA
55,Detroit Internet Exchange - DET-IX,Detroit,MI
56,Digital Realty Ashburn Internet Exchange,Ashburn,VA
57,Digital Realty Atlanta Internet Exchange,Atlanta,GA
58,Digital Realty Chicago,Chicago,IL
59,Digital Realty Dallas Internet Exchange,Dallas,TX
60,Digital Realty New York Internet Exchange,New York,NY
61,Digital Realty New York Internet Exchange,Clifton,NJ
62,Digital Realty Phoenix Internet Exchange,Phoenix,AZ
63,DRFortress Exchange - DRF IX,Honolulu,HI
64,Equinix Internet Exchange Ashburn - Equinix Ashburn,Ashburn,VA
65,Equinix Internet Exchange Atlanta - Equinix Atlanta,Atlanta,GA
66,Equinix Internet Exchange Chicago - Equinix Chicago,Chicago,IL
67,Equinix Internet Exchange Dallas - Equinix Dallas,Dallas,TX
68,Equinix Internet Exchange Denver - Equinix Denver,Denver,CO
69,Equinix Internet Exchange Los Angeles - Equinix Los Angeles,Los Angeles,CA
70,Equinix Internet Exchange Miami - Equinix Miami,Miami,FL
71,Equinix Internet Exchange New York - Equinix New York,New York,NY
72,Equinix Internet Exchange Palo Alto - Equinix Palo Alto,Palo Alto,CA
73,Equinix Internet Exchange San Jose (Bay Area) - Equinix San Jose,San Jose,CA
74,Equinix Internet Exchange Seattle - Equinix Seattle,Seattle,
75,Experimental Virtual Internet Exchange - EVIX,Fremont,CA
76,F4 Internet Exchange - F4IX MCI,Kansas City,MO
77,Fargo-Moorhead Internet Exchange - FMIX,Fargo,ND
78,FD-IX - Amarillo,Amarillo,TX
79,Fiber Data Internet Exchange - FD-IX - Iowa,Altoona,IA
80,FL-IX - The Florida Internet Exchange / Community IX - Florida,Miami,FL
81,Flooyd Internet Exchange for Kansas - FlooydIX Kansas,Kansas City,MO
82,Fremont Cabal Internet Exchange - FCIX,Fremont,CA
83,Fremont Metro Internet Exchange - FREMIX,Fremont,CA
84,Gig IX Ashburn,Ashburn,VA
85,Global Peer Exchange,Washington,DC
86,Global Peering Managed Services Provider - GPIEX,Albany,NY
87,Grand Rapids Internet Exchange - Grand Rapids Internet Exchange (GRR-iX),Grand Rapids,MI
88,Greater Chicago International Internet Exchange - GCIIX,Chicago,IL
89,Great Plains Connect - GPC Missouri,North Kansas City,MO
90,Hawai`i Internet Exchange - HIX,Honolulu,HI
91,Hawaii Pacific Teleport IX-1 - HPTI-IX,Honolulu,HI
92,Houston Internet Exchange - HOUIX,Houston,TX
93,Hyper Group vInternet Exchange - Hyper Group Internet Exchange (HNIX),North Kansas City,MO
94,Interconnection eXchange Denver - IX-Denver,Denver,CO
95,Internet eXchange 42 Las Vegas - IX42 LAS,Las Vegas,NV
96,Internet Exchange Oklahoma City - iX-OKC,Oklahoma City,OK
97,IXP US FRE,Fremont,CA
98,Jacksonville Internet Exchange - JXIX,Jacksonville,FL
99,Kansas City Internet Exchange - KCIX,Kansas City,MO
100,Lambda Internet Exchange - Lambda-IX,Fremont,CA
101,Lightboard Burlington IX (Vermont),Burlington,VT
102,Lightboard Burlington IX (Vermont),Montpelier,VT
103,Lightboard Burlington IX (Vermont),White River Junction,VT
104,Lightboard Springfield IX (Massachusetts),Springfield,MA
105,Lightboard Springfield IX (Massachusetts),Hartford,CT
106,Lightboard Springfield IX (Massachusetts),New Haven,CT
107,LINX Northern Virginia,Ashburn,VA
