REPORTING YEAR,FACILITY NAME,GHGRP ID,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2019,(540) Civitas Resources - Denver Basin,1000355,39.74431,-104.98858,Denver,,CO,80202,BONANZA CREEK ENERGY INC (100%),308515,W
2019,121 REGIONAL DISPOSAL FACILITY,1004377,33.29857,-96.53586,MELISSA,COLLIN COUNTY,TX,75454,NORTH TEXAS MUNICIPAL WATER DISTRICT (100%),518680,HH
2019,1500 South Tibbs LLC d/b/a Aurorium Indianapolis LLC,1001155,39.73,-86.26,Indianapolis,MARION COUNTY,IN,46242,VERTELLUS HOLDINGS LLC (100%),63624,C
2019,"1876 Resources, LLC - Denver Basin",1013369,39.73652198,-104.98676,Denver,,CO,80203,CUB CREEK ENERGY LLC (100%),42998,W
2019,220 Gulf Coast Basin,1012507,29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),108171,W
2019,220 Gulf Coast Basin DEC,1009238,35.466697,-97.51453,Oklahoma City,,OK,73102,DEVON ENERGY CORP (100%),668194,W
2019,23rd and 3rd,1000112,40.663,-74,BROOKLYN,Kings,NY,11232,NEW YORK POWER AUTHORITY (100%),44658,"C,D"
2019,260 - East Texas Basin Gathering/Boosting,1012156,29.77455,-95.61949,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%),9776,W
2019,260 East Texas Basin - BP America Production Company,1009170,29.78037,-95.6295,Houston,,TX,77079,BP AMERICA INC (100%),76941,W
2019,31st Street Landfill,1003742,41.834962,-87.916392,WESTCHESTER,COOK COUNTY,IL,60154,ARCHDIOCESE OF CHICAGO (100%),18925,"C,HH"
2019,345 - Arkoma Basin Gathering/Boosting,1012155,29.77455,-95.61949,Houston,HARRIS COUNTY,TX,77079,BP AMERICA INC (100%),57855,W
2019,345 Arkoma Basin,1012472,29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),78340,W
2019,345 Arkoma Basin - BP America Production Company,1009169,29.78037,-95.6295,Houston,,TX,77079,BP AMERICA INC (100%),167141,W
2019,350 South Oklahoma Folded Belt,1012466,29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),179280,W
2019,355 Chatauque Platform,1009264,35.56719,-97.49827,Oklahoma City,,OK,73142,CHAPARRAL ENERGY INC (100%),3863,W
2019,360 Anadarko Basin,1012522,29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),467309,W
2019,360 Anadarko Basin,1009265,35.56719,-97.49827,Oklahoma City,,OK,73142,CHAPARRAL ENERGY INC (100%),215964,W
2019,360 Anadarko Basin - BP America Production Company,1008558,29.78037,-95.6295,Houston,,TX,77079,BP AMERICA INC (100%),45653,W
2019,360 Anadarko Basin DEC,1008287,35.466697,-97.51453,Oklahoma City,,OK,73102,DEVON ENERGY CORP (100%),408393,W
2019,375 Sedgwick Basin,1012523,29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),71270,W
2019,395 Williston Basin,1012526,29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),121276,W
2019,395 Williston Basin QEP Energy Company,1009281,39.74846,-104.99402,Denver,,CO,80265,QEP RESOURCES INC (100%),334639,W
2019,3M BROWNWOOD,1003188,31.671177,-98.996513,BROWNWOOD,BROWN COUNTY,TX,76801,3M CO (100%),30572,"C,N"
2019,3M CO,1005043,44.951,-92.9959,MAPLEWOOD,RAMSEY COUNTY,MN,55144,3M CO (100%),106258,C
2019,3M CO - GUIN,1003739,33.96548,-87.89936,GUIN,MARION COUNTY,AL,35563,3M CO (100%),29771,"C,N"
2019,3M CO - WAUSAU DOWNTOWN,1007698,44.95018,-89.63766,WAUSAU,MARATHON COUNTY,WI,54401,3M CO (100%),45435,C
2019,3M Chemical Operations' Cordova Facility,1006665,41.755,-90.284167,CORDOVA,ROCK ISLAND COUNTY,IL,61242,3M CO (100%),766972,"C,L,OO"
2019,3M Chemical Operations' Cottage Grove Facility,1004836,44.789444,-92.908333,Cottage Grove,WASHINGTON COUNTY,MN,55016,3M CO (100%),55977,"C,L,N,OO"
2019,3M Chemical Operations' Decatur Facility,1004206,34.641667,-87.038611,DECATUR,MORGAN COUNTY,AL,35609,3M CO (100%),46652,"C,L,OO"
2019,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,1003408,34.70537,-92.24607,LITTLE ROCK,PULASKI COUNTY,AR,72206,3M CO (100%),30635,C
2019,3M MAGNETIC TAPE MANUFACTURING DIVISION,1004914,44.879677,-94.359598,HUTCHINSON,MCLEOD COUNTY,MN,55350,3M CO (100%),39938,C
2019,3M NEVADA PLANT,1004804,37.834476,-94.330625,NEVADA,VERNON COUNTY,MO,64772,3M CO (100%),33840,C
2019,3M Pittsboro,1013282,35.660546,-79.176782,Moncure,,NC,27559,3M CO (100%),25969,C
2019,415 Strawn BKV  GB,1012545,32.78882,-97.34363,FORT WORTH,,TX,76106,EXXON MOBIL CORP (100%),371374,W
2019,415 Strawn Basin BKV - Production,1009276,35.4711808,-97.516602,FORT WORTH,,TX,76106,DEVON ENERGY CORP (100%),54343,W
2019,420 Fort Worth Syncline,1012495,29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),222286,W
2019,420 Fort Worth Syncline BKV  GB,1012544,32.78882,-97.34363,Fort Worth,,TX,76106,EXXON MOBIL CORP (100%),78644,W
2019,420 Fort Worth Syncline BKV - Production,1008289,35.466697,-97.51453,Bridgeport,,TX,76426,DEVON ENERGY CORP (100%),436885,W
2019,425 Bend Arch,1012470,29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),67800,W
2019,430 Permian Basin,1012500,29.75993,-95.366413,Houston,HARRIS COUNTY,TX,77002,TARGA RESOURCES CORP (100%),2101875,W
