"Region Code","Timestamp (Hour Ending)","CAL Demand (MWh)","CAR Demand (MWh)","CENT Demand (MWh)","FLA Demand (MWh)","MIDA Demand (MWh)","MIDW Demand (MWh)","NE Demand (MWh)","NW Demand (MWh)","NY Demand (MWh)","SE Demand (MWh)","SW Demand (MWh)","TEN Demand (MWh)","TEX Demand (MWh)"
US48,"11/14/2023, Eastern Time",691611,563744,692344,626362,2107576,1786185,312104,971718,397633,562619,264765,398027,1013498
US48,"11/15/2023, Eastern Time",713665,569668,690868,602279,2112994,1761964,304842,967988,390690,568137,263709,386699,1015950
US48,"11/16/2023, Eastern Time",700416,541235,695247,539167,2051320,1751746,291561,984335,379487,547364,265445,380468,1026365
US48,"11/17/2023, Eastern Time",697257,516395,684573,624799,1984191,1731525,289009,980080,376382,528725,260408,369404,1037655
US48,"11/18/2023, Eastern Time",661358,483385,665111,591586,1891387,1666729,279053,936675,353161,506397,252923,357694,999078
US48,"11/19/2023, Eastern Time",628562,502724,663028,586361,1951407,1667378,279113,942579,361956,511293,243937,384798,992264
US48,"11/20/2023, Eastern Time",678328,561317,706483,628275,2158437,1814301,312669,1019858,398738,540925,254336,395277,1064964
US48,"11/21/2023, Eastern Time",703841,558182,735003,654197,2200493,1833114,331054,1005618,422208,540862,253164,391005,1048331
US48,"11/22/2023, Eastern Time",698634,531552,742916,648157,2085858,1839220,323371,978080,399455,539261,251600,422916,1088329
US48,"11/23/2023, Eastern Time",625658,528284,691259,583253,1909862,1691361,266827,963025,357208,521905,246522,403443,1040224
US48,"11/24/2023, Eastern Time",623239,521476,719930,544495,1988563,1723479,277504,998912,374717,504482,242269,377972,1000072
US48,"11/25/2023, Eastern Time",628022,547926,737329,558473,2079283,1756509,301671,1036098,385287,535222,243265,388934,1005959
US48,"11/26/2023, Eastern Time",636460,606538,753606,596166,2105459,1785643,304511,1050755,381840,558731,246506,407906,1041199
US48,"11/27/2023, Eastern Time",702368,610037,799169,593435,2292423,2027963,302799,999494,402302,640615,260357,481595,1165402
US48,"11/28/2023, Eastern Time",713976,696282,784554,590236,2510141,2078792,329712,1093352,431182,687875,259223,519563,1104771
US48,"11/29/2023, Eastern Time",724389,754559,750778,620401,2537621,2010143,344051,1117833,441816,739508,257088,515355,1109334
US48,"11/30/2023, Eastern Time",726414,694365,742609,612120,2338235,1926772,327003,1102742,414521,702469,265387,459374,1053554
US48,"12/1/2023, Eastern Time",714985,614472,750875,617443,2243438,1862002,313611,1079517,410305,595758,262973,418767,1035431
US48,"12/2/2023, Eastern Time",666838,511941,735115,650559,1980914,1765000,291746,1026402,378264,521862,256338,371534,1028880
US48,"12/3/2023, Eastern Time",645959,493921,728661,661170,1958894,1743027,305741,1011009,381390,506568,257193,369491,1017010
US48,"12/4/2023, Eastern Time",691809,543929,756612,642634,2175878,1909958,315518,1009775,403910,574144,263513,431372,1052957
US48,"12/5/2023, Eastern Time",698959,601637,758493,584713,2293640,1959892,336047,978614,420938,633295,260052,452756,1071044
US48,"12/6/2023, Eastern Time",712432,650883,763858,562899,2350635,1962553,350099,981342,431962,659080,256510,464158,1065459
