"Region Code","Timestamp (Hour Ending)","CAL Demand (MWh)","CAR Demand (MWh)","CENT Demand (MWh)","FLA Demand (MWh)","MIDA Demand (MWh)","MIDW Demand (MWh)","NE Demand (MWh)","NW Demand (MWh)","NY Demand (MWh)","SE Demand (MWh)","SW Demand (MWh)","TEN Demand (MWh)","TEX Demand (MWh)"
US48,"1/1/2023, Eastern Time",621178,478148,644349,574546,1844295,1637233,273148,983651,357120,477850,255475,342521,899540
US48,"1/2/2023, Eastern Time",692440,519117,669956,595192,1939503,1710255,303550,1069779,377848,512066,269185,354751,970461
US48,"1/3/2023, Eastern Time",736465,530603,719373,621410,2040208,1819416,335429,1094423,404670,540743,275886,367694,965338
US48,"1/4/2023, Eastern Time",732759,524179,760561,642887,2025808,1866522,323809,1098302,392449,537773,266982,374897,981661
US48,"1/5/2023, Eastern Time",718498,538507,771291,608675,2104236,1952957,324424,1059004,395100,575151,271869,429229,1011497
US48,"1/6/2023, Eastern Time",696009,593663,765118,563146,2223313,1976977,337636,1032983,404341,624214,264536,453052,1016854
US48,"1/7/2023, Eastern Time",665551,619539,720234,577383,2168315,1863134,311294,990999,392144,597544,257064,432976,935385
US48,"1/8/2023, Eastern Time",634357,620101,713391,574962,2207078,1835894,316638,990448,394021,547969,252545,405115,930138
US48,"1/9/2023, Eastern Time",708425,621993,742617,574646,2320691,1959915,338677,1033492,419995,597914,263516,464247,993823
US48,"1/10/2023, Eastern Time",719333,678898,724370,578277,2380376,1922977,336027,1033267,427763,650536,266995,475744,983121
US48,"1/11/2023, Eastern Time",735919,641422,719747,588619,2343432,1863931,344732,1036731,427479,607516,260287,414734,1002110
US48,"1/12/2023, Eastern Time",706497,558261,780852,579380,2227372,1921865,351823,1020089,422209,548589,264530,395185,997281
US48,"1/13/2023, Eastern Time",704440,579803,801544,571650,2257634,2061393,323684,993316,411605,655240,258636,504244,1053168
US48,"1/14/2023, Eastern Time",684183,688505,759561,686293,2354838,1978422,324887,951919,418622,708330,258433,513874,1046222
US48,"1/15/2023, Eastern Time",665897,706933,700774,743061,2310289,1868876,328597,958783,411256,699257,260825,501521,972456
US48,"1/16/2023, Eastern Time",702150,704529,690364,723369,2355624,1869352,353222,1013016,424077,671781,275718,469478,970005
US48,"1/17/2023, Eastern Time",714029,611409,712154,638685,2262556,1847601,327904,1038929,428337,585302,270401,405064,984119
US48,"1/18/2023, Eastern Time",728841,550467,731823,570720,2191732,1904282,320821,1059170,409281,549992,275931,399804,986754
US48,"1/19/2023, Eastern Time",733006,532187,766103,578297,2217786,1904385,335715,1078938,421151,540551,286415,384392,978436
US48,"1/20/2023, Eastern Time",720738,544885,765011,577764,2246180,1984654,338914,1085583,413040,582322,282803,442753,1025037
US48,"1/21/2023, Eastern Time",676658,613765,740539,571682,2218088,1895767,326175,1079055,401239,600089,280640,459675,991663
US48,"1/22/2023, Eastern Time",659531,628415,741856,586522,2242136,1868678,325895,1043403,396379,609341,279887,430288,1010688
US48,"1/23/2023, Eastern Time",704235,638196,789789,582532,2392009,2036034,350668,1081764,430239,662210,304840,481161,1113876
US48,"1/24/2023, Eastern Time",714539,703908,804457,603800,2376033,2038656,346545,1089281,425993,720571,302662,510121,1125412
US48,"1/25/2023, Eastern Time",710770,644540,824321,619441,2393482,2041072,351350,1072577,433224,613093,294110,458395,1172778
US48,"1/26/2023, Eastern Time",692001,626913,828203,585177,2353941,2113006,331690,1067154,422036,689493,291058,511252,1155987
US48,"1/27/2023, Eastern Time",698015,704515,778760,614222,2402953,2059652,327834,1043022,421747,726482,284549,506217,1142337
US48,"1/28/2023, Eastern Time",646785,660108,742776,605659,2159758,1879749,302825,1018283,385163,673028,273737,442601,1006231
US48,"1/29/2023, Eastern Time",663511,612613,821421,584181,2131443,1866543,302944,1101271,386965,600909,265234,417019,1018363
US48,"1/30/2023, Eastern Time",716410,563172,917880,626069,2253007,2128522,315863,1210016,412378,577971,267545,434506,1337240
US48,"1/31/2023, Eastern Time",716876,555812,912455,630559,2422829,2237653,337873,1188740,432008,559302,267632,494195,1477592
US48,"2/1/2023, Eastern Time",712080,587796,881403,627378,2502461,2220781,348890,1128823,439322,572523,263556,534463,1448275
US48,"2/2/2023, Eastern Time",715789,658476,846174,632790,2498742,2163660,349896,1102475,434689,612616,265805,526076,1365237
US48,"2/3/2023, Eastern Time",704980,654449,836358,606820,2612727,2207283,376214,1069571,474073,646464,264435,535696,1219533
US48,"2/4/2023, Eastern Time",646155,732275,750117,566923,2589991,2013131,411849,986577,484021,671577,246754,518961,1104075
US48,"2/5/2023, Eastern Time",625788,657130,693838,563425,2214211,1810431,341998,979742,416754,599070,246350,439124,982338
US48,"2/6/2023, Eastern Time",680481,606416,714287,575316,2272486,1910884,337585,1030829,423255,606818,255649,442162,975000
US48,"2/7/2023, Eastern Time",683500,623241,723353,579887,2311934,1862015,339898,1032097,427017,603899,262734,414588,996664
US48,"2/8/2023, Eastern Time",677745,569607,746881,584959,2147910,1874416,324126,1037094,402113,561226,263295,393042,1066832
US48,"2/9/2023, Eastern Time",672264,538861,768989,617151,2127767,1890530,332110,1038347,417733,543328,267072,380021,1075421
US48,"2/10/2023, Eastern Time",665024,510055,783074,635723,2068732,1939127,296196,1013138,392227,551413,260823,412923,1103046
US48,"2/11/2023, Eastern Time",626747,538399,746673,625717,2065238,1873704,285555,981243,379637,586589,251171,432836,1123657
US48,"2/12/2023, Eastern Time",608910,618387,709556,560083,2115300,1791293,298746,985807,375690,620405,241154,432295,1060484
US48,"2/13/2023, Eastern Time",659047,608753,717833,562051,2172674,1857511,313486,1024751,388023,644026,259281,453233,1036119
US48,"2/14/2023, Eastern Time",690774,589401,714086,576340,2135093,1853196,301386,1074336,380814,612098,284486,424047,987214
US48,"2/15/2023, Eastern Time",703830,553186,745034,592665,2020768,1813216,307448,1110160,373676,563437,284749,382141,1010000
US48,"2/16/2023, Eastern Time",715910,524125,809990,622161,2048307,1923427,294717,1101048,379026,552518,290373,376610,1070815
US48,"2/17/2023, Eastern Time",687833,523077,804739,644675,2177326,2038671,313402,1058754,399012,585055,281037,465496,1192900
US48,"2/18/2023, Eastern Time",637011,611723,755647,577127,2186180,1892302,297734,1004791,380315,658328,249728,474132,1148428
US48,"2/19/2023, Eastern Time",614126,584144,694531,605525,2008218,1720195,293581,985082,371472,568918,247044,393140,1004452
US48,"2/20/2023, Eastern Time",638440,553756,695625,627790,2062622,1810431,289185,1001954,375218,567132,246670,396385,1007780
US48,"2/21/2023, Eastern Time",662766,519905,715530,645704,2090223,1872586,321374,1029272,400505,540378,249987,384675,1041198
US48,"2/22/2023, Eastern Time",689967,530370,724742,662755,2192001,1873722,319052,1133018,414043,556575,268078,373233,1058305
US48,"2/23/2023, Eastern Time",737018,541108,795302,693317,2055904,1871413,350367,1191203,417667,569727,271640,384085,1043065
US48,"2/24/2023, Eastern Time",755975,517924,833344,686238,2081889,1970581,345376,1173665,413590,555299,257784,383381,1075215
US48,"2/25/2023, Eastern Time",710268,510764,744444,656659,2161099,1802843,362192,1073503,428564,512492,244224,385145,1055911
US48,"2/26/2023, Eastern Time",673307,510331,688919,634315,2042505,1723596,345667,1032684,399977,508427,252500,369320,1016325
US48,"2/27/2023, Eastern Time",739596,531332,678791,641653,2172892,1830881,339575,1077554,411799,551310,268109,378433,1034006
US48,"2/28/2023, Eastern Time",726546,522802,700735,669106,2132180,1825403,353658,1081738,431938,567691,261177,377552,1050243
US48,"3/1/2023, Eastern Time",709903,522432,698188,664246,2103713,1813355,329731,979269,412869,565451,269560,378996,1066607
US48,"3/2/2023, Eastern Time",701702,521869,727078,660556,2051026,1862104,332043,948760,405127,554355,281944,370201,1058236
US48,"3/3/2023, Eastern Time",675228,521287,706042,690577,2179241,1846717,307648,941837,401773,544544,262213,355026,966162
US48,"3/4/2023, Eastern Time",657313,482471,666498,696335,1968558,1674339,322702,912656,387061,501359,245332,351227,954219
US48,"3/5/2023, Eastern Time",646421,487665,656277,691928,1929838,1649261,298391,906177,370237,500302,242336,362676,957585
US48,"3/6/2023, Eastern Time",688942,530247,686694,716299,2064319,1788446,296747,1039504,391012,551930,253785,379758,1043480
US48,"3/7/2023, Eastern Time",685132,516892,717100,713354,2088581,1833974,313002,1045164,399747,573126,249505,374246,1059782
US48,"3/8/2023, Eastern Time",691242,539675,723012,682203,2205331,1890954,314132,1068399,409802,540384,249772,396105,1060656
US48,"3/9/2023, Eastern Time",718350,551738,727436,630525,2159880,1894598,301024,1050965,401725,546974,252269,401222,1062284
US48,"3/10/2023, Eastern Time",719211,536403,728696,627472,2225704,1868780,291513,1026126,407218,537681,253110,388536,1036419
US48,"3/11/2023, Eastern Time",666112,520906,697764,613340,2114427,1785058,298776,957196,390735,518458,246906,398719,1056665
US48,"3/12/2023, Eastern Time",609297,584556,658129,592070,2069550,1707473,267413,931219,359761,499318,225664,375910,957874
US48,"3/13/2023, Eastern Time",673600,605791,757070,665842,2297161,1940013,321196,988362,409925,567346,245249,450381,975118
US48,"3/14/2023, Eastern Time",710769,656385,755431,596689,2401917,1944912,329363,997872,423648,645254,248477,489503,991118
US48,"3/15/2023, Eastern Time",692904,669101,723921,561115,2328866,1887383,319215,985118,408274,654820,258261,473207,1000995
US48,"3/16/2023, Eastern Time",674283,627572,721379,572348,2178877,1851911,305294,1003808,392506,617839,252044,427528,1023970
US48,"3/17/2023, Eastern Time",651725,539212,763352,591302,2078740,1890431,302521,976452,387887,554376,249623,403032,1034330
US48,"3/18/2023, Eastern Time",608419,501398,764462,612073,2053693,1924819,267237,910979,357175,579314,242831,443994,1032986
US48,"3/19/2023, Eastern Time",623296,559770,749886,558359,2165548,1891716,277651,910850,375771,623590,247571,489717,1042669
US48,"3/20/2023, Eastern Time",663789,646084,758968,571025,2263539,1962824,293501,955359,385241,695875,256646,500915,1123850
US48,"3/21/2023, Eastern Time",712126,630842,733229,598035,2146778,1888704,285783,953759,372953,654914,264272,455367,1044832
US48,"3/22/2023, Eastern Time",709177,572976,701324,600830,2048295,1821959,276730,952465,371501,579485,249549,407818,1057224
US48,"3/23/2023, Eastern Time",701419,535265,698248,635941,1993086,1783185,294834,964224,379278,564217,244647,380319,1104132
US48,"3/24/2023, Eastern Time",672051,533788,697105,658736,1986969,1803489,275386,1003955,370607,565511,243579,371074,1086118
US48,"3/25/2023, Eastern Time",620843,488269,660655,703761,1916379,1692180,299263,976018,378027,549019,238670,342310,995499
US48,"3/26/2023, Eastern Time",603861,475223,661474,734181,1793979,1646891,257040,964530,336512,527547,231610,343509,974000
US48,"3/27/2023, Eastern Time",661957,523027,712020,762431,1981032,1792617,275603,1014192,378230,567365,245088,365592,1028704
US48,"3/28/2023, Eastern Time",692158,507876,715431,734867,2022098,1819739,296500,989634,380407,538867,244009,370594,1009224
US48,"3/29/2023, Eastern Time",715949,515524,719228,672272,2037815,1809794,275350,959571,371904,534226,243156,393438,978951
US48,"3/30/2023, Eastern Time",702955,534065,699268,643394,2066922,1806830,285407,961942,383436,554105,247305,391944,1029397
US48,"3/31/2023, Eastern Time",672641,514916,683264,664153,2036322,1754711,295304,975753,392488,535107,246200,366410,1110639
US48,"4/1/2023, Eastern Time",607111,480260,649380,699098,1803902,1657998,281034,930856,340462,520750,240654,336492,1020132
US48,"4/2/2023, Eastern Time",584849,461815,637261,713689,1810102,1623263,248017,932459,335164,488419,236534,343633,1039623
US48,"4/3/2023, Eastern Time",656537,508417,684615,741239,1962888,1767393,273821,989397,363987,538855,248725,372346,1193138
US48,"4/4/2023, Eastern Time",674403,535260,722584,763181,1926286,1821606,266039,1005347,358409,581702,249712,400872,1190250
US48,"4/5/2023, Eastern Time",668821,574694,694486,775477,1977251,1804249,291364,987126,369020,623668,256858,416353,1068614
US48,"4/6/2023, Eastern Time",658205,586227,692780,771423,1981636,1781091,283856,954283,358342,617116,253213,375987,988040
US48,"4/7/2023, Eastern Time",651498,511271,677863,756216,1864988,1685339,261679,908394,348795,562935,246017,365300,978775
US48,"4/8/2023, Eastern Time",586131,547438,639320,725050,1825551,1577009,245462,873729,333294,519219,241049,365112,932983
US48,"4/9/2023, Eastern Time",569276,517603,613929,635133,1757000,1504093,237048,850534,318693,510830,241889,347860,928884
US48,"4/10/2023, Eastern Time",629387,542064,656904,610906,1910200,1661630,254925,901160,344926,540304,269258,373760,985895
US48,"4/11/2023, Eastern Time",647038,543751,674111,596323,1917136,1693654,258115,928056,346981,550716,289673,379566,1013804
US48,"4/12/2023, Eastern Time",658098,528284,687377,589743,1934015,1716597,253849,936669,348633,546667,282294,380301,1023580
US48,"4/13/2023, Eastern Time",657706,517608,694302,681163,2010910,1737445,267831,938406,370935,540211,267989,373583,1039852
US48,"4/14/2023, Eastern Time",647674,524195,695604,715923,1985942,1737599,275822,918933,384186,540871,252180,367025,1061570
US48,"4/15/2023, Eastern Time",584829,509384,653650,736252,1867299,1637105,236471,869732,345826,527186,251212,363097,1111268
US48,"4/16/2023, Eastern Time",574878,502490,636715,736097,1795069,1571543,243099,859042,330423,512714,256006,338634,956928
US48,"4/17/2023, Eastern Time",648913,508625,678672,642699,1921679,1729435,276597,924108,354728,523786,271521,370251,1006233
US48,"4/18/2023, Eastern Time",648668,517587,688431,601191,1925267,1721219,262421,947153,358331,547609,269127,385886,1042953
US48,"4/19/2023, Eastern Time",637900,547339,705934,619183,1911554,1743637,272126,947709,359758,566233,261562,391121,1120254
