Data Year,Utility Number,Utility Name,State,BA Code,Commercial Annual Savings (MWh),Industrial Annual Savings (MWh),Total Annual Savings (MWh),Commercial Peak Demand Annual Savings (MW),Industrial Peak Demand Annual Savings (MW),Total Peak Demand Annual Savings (MW),Commercial Cum Savings (MWh),Industrial Cum Savings (MWh),Total Cum Savings (MWh),Commercial Cum Peak Demand Savings (MWh),Industrial Cum Peak Demand Savings (MWh),Total Cum Peak Demand Savings (MWh),Commercial Annual Incent Cost (Thousand $),Industrial Annual Incent Cost (Thousand $),Total Annual Incent Cost (Thousand $),Commercial Non-Incentive Annual Costs (Thousand $),Industrial Non-Incentive Annual Costs (Thousand $),Total Non-Incentive Annual Costs (Thousand $),Commercial Incentive Cum Costs (Thousand $),Industrial Incentive Cum Costs (Thousand $),Total Incentive Cum Costs (Thousand $),Commercial Non-Incentive Cum Costs (Thousand $),Industrial Non-Incentive Cum Costs (Thousand $),Total Non-Incentive Cum Costs (Thousand $),Commercial Weighted Avg Life (Yrs),Industrial Weighted Avg Life (Yrs)
2023,162,Aiken Electric Coop Inc,SC,SC,.,.,206,.,.,0.0,.,.,"27,204",.,.,0.0,.,.,.,.,.,37,.,.,.,.,.,348,.,.
2023,189,PowerSouth Energy Cooperative,AL,SOCO,.,.,"2,550",.,.,2.1,.,.,"28,552",.,.,2.1,.,.,848,.,.,526,.,.,848,.,.,526,.,.
2023,195,Alabama Power Co,AL,SOCO,759,.,"5,767",0.2,.,11.9,"3,797",.,"45,489",0.2,.,11.9,36,.,"1,225",151,.,"1,095",36,.,"1,225",151,.,"1,095",5.000,.
2023,207,Alameda Municipal Power,CA,CISO,111,0,146,0.0,0.0,0.1,"1,460",0,"1,958",0.0,0.0,0.1,23,0,70,146,0,321,23,0,70,146,0,321,13.269,0.000
2023,295,City of Alexandria - (MN),MN,MISO,673,"2,386","3,306",0.1,0.5,0.7,"8,564","30,364","43,191",0.1,0.5,0.7,36,129,187,38,134,194,36,129,187,38,134,194,12.727,12.727
2023,554,City of Ames - (IA),IA,MISO,20,.,189,0.0,.,0.1,170,.,"1,856",0.0,.,0.1,2,.,197,2,.,54,2,.,197,2,.,54,10.000,.
2023,590,City of Anaheim - (CA),CA,CISO,"2,725","1,168","7,242",0.5,0.2,1.5,"31,169","12,612","82,545",0.5,0.2,1.5,827,355,"3,338",278,119,804,827,355,"3,338",278,119,804,11.437,10.798
2023,691,City of Anoka,MN,MISO,"4,462",.,"4,628",0.7,.,0.7,"40,228",.,"41,317",0.7,.,0.7,255,.,259,23,.,115,255,.,259,23,.,115,26.000,.
2023,733,Appalachian Power Co,VA,PJM,"2,200",135,"46,230",5.3,0.3,19.7,"60,552","3,718","495,141",5.3,0.3,19.7,"1,319",81,"9,150","1,584",97,"7,650","1,319",81,"9,150","1,584",97,"7,650",27.525,27.521
2023,733,Appalachian Power Co,WV,PJM,0,.,"2,436",.,.,1.0,.,.,"30,113",.,.,1.0,.,.,"2,143",.,.,"1,399",.,.,"2,143",.,.,"1,399",.,.
2023,803,Arizona Public Service Co,AZ,AZPS,"204,113",0,"313,784",38.7,0.0,105.8,"2,733,360",0,"4,075,898",38.7,0.0,105.8,"12,162",0,"27,508","13,183",0,"26,286","12,162",0,"27,508","13,183",0,"26,286",13.400,0.000
