Utility Characteristics,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2023,162,Aiken Electric Coop Inc,SC,SC,206,.,.,.,206,0.0,.,.,.,0.0,"27,204",.,.,.,"27,204",0.0,.,.,.,0.0,.,.,.,.,.,37,.,.,.,37,.,.,.,.,.,348,.,.,.,348,10.000,.,.,.,
2023,189,PowerSouth Energy Cooperative,AL,SOCO,"2,550",.,.,.,"2,550",2.1,.,.,.,2.1,"28,552",.,.,.,"28,552",2.1,.,.,.,2.1,848,.,.,.,848,526,.,.,.,526,848,.,.,.,848,526,.,.,.,526,12.000,.,.,.,
2023,195,Alabama Power Co,AL,SOCO,"5,008",759,.,.,"5,767",11.7,0.2,.,.,11.9,"41,692","3,797",.,.,"45,489",11.7,0.2,.,.,11.9,"1,189",36,.,.,"1,225",944,151,.,.,"1,095","1,189",36,.,.,"1,225",944,151,.,.,"1,095",8.300,5.000,.,.,
2023,207,Alameda Municipal Power,CA,CISO,35,111,0,.,146,0.1,0.0,0.0,.,0.1,498,"1,460",0,.,"1,958",0.1,0.0,0.0,.,0.1,47,23,0,.,70,175,146,0,.,321,47,23,0,.,70,175,146,0,.,321,14.864,13.269,0.000,.,
2023,295,City of Alexandria - (MN),MN,MISO,248,673,"2,386",.,"3,306",0.0,0.1,0.5,.,0.7,"4,263","8,564","30,364",.,"43,191",0.0,0.1,0.5,.,0.7,22,36,129,.,187,22,38,134,.,194,22,36,129,.,187,22,38,134,.,194,17.224,12.727,12.727,.,
2023,554,City of Ames - (IA),IA,MISO,169,20,.,.,189,0.1,0.0,.,.,0.1,"1,686",170,.,.,"1,856",0.1,0.0,.,.,0.1,195,2,.,.,197,52,2,.,.,54,195,2,.,.,197,52,2,.,.,54,10.000,10.000,.,.,
2023,590,City of Anaheim - (CA),CA,CISO,"3,349","2,725","1,168",.,"7,242",0.8,0.5,0.2,.,1.5,"38,764","31,169","12,612",.,"82,545",0.8,0.5,0.2,.,1.5,"2,156",827,355,.,"3,338",407,278,119,.,804,"2,156",827,355,.,"3,338",407,278,119,.,804,11.574,11.437,10.798,.,
2023,691,City of Anoka,MN,MISO,167,"4,462",.,.,"4,628",0.0,0.7,.,.,0.7,"1,089","40,228",.,.,"41,317",0.0,0.7,.,.,0.7,4,255,.,.,259,91,23,.,.,115,4,255,.,.,259,91,23,.,.,115,26.000,26.000,.,.,
2023,733,Appalachian Power Co,VA,PJM,"43,895","2,200",135,.,"46,230",14.1,5.3,0.3,.,19.7,"430,871","60,552","3,718",.,"495,141",14.1,5.3,0.3,.,19.7,"7,750","1,319",81,.,"9,150","5,968","1,584",97,.,"7,650","7,750","1,319",81,.,"9,150","5,968","1,584",97,.,"7,650",9.816,27.525,27.521,.,
