IXP Name,Location
48 IX,"Phoenix, AZ"
ABQIX,"Albuquerquem, NM"
AlaskaIX,"Anchorage, AK"
Amateur Radio Internet Exchange - ARIX,"Fremont, CA"
Amateur Radio Internet Exchange - ARIX, "Portland, OR"
Amateur Radio Internet Exchange - ARIX, "Flagstaff, AZ"
AMS-IX Bay Area,"San Francisco, CA, San Jose, CA"
AMS-IX Chicago,"Chicago, IL"
Arizona Internet Exchange - AZIX,"Phoenix, AZ"
Baltimore Internet Exchange - Baltimore IX,"Baltimore, MD"
BGP.Exchange - Chicago,"Chicago, IL"
BGP.Exchange - Fremont,"Fremont, CA"
BGP.Exchange - Kansas,"Kansas City, KS"
BGP.Exchange - Los Angeles,"Los Angeles, CA"
BGP.Exchange - Miami,"Miami, FL"
BGP.Exchange - New York,"New York, NY"
Boston Internet Exchange,"Boston, MA"
BroadBand Internet Exchange Chicago - BBIX Chicago,"Chicago, IL"
BroadBand Internet Exchange Dallas - BBIX Dallas,"Dallas, TX"
BroadBand Internet Exchange Miami - BBIX Miami,"Miami, FL"
BroadBand Internet Exchange US-West - BBIX US-West,"West Coast"
Buffalo Niagara International Internet Exchange - BNIIX,"Buffalo, NY"
Central Florida Internet Exchange - CFLIX,"Orlando, FL"
Central Michigan Internet Exchange - CM-IX,"Mount Pleasant, MI"
Central Oregon Internet Exchange,"Bend, OR"
Chicago Internet Exchange - ChIX,"Chicago, IL"
Cleveland Internet Exchange - CL-IX,"Cleveland, OH"
Columbus Internet Exchange - CMH-IX,"Columbus, OH"
Community IX - Atlanta - CIX-ATL,"Atlanta, GA"
CoreSite - Any2Chicago,"Chicago, IL"
CoreSite - Any2Denver,"Denver, CO"
CoreSite - Any2East,"Washington DC"
CoreSite - Any2East,"Reston, VA"
CoreSite - Any2East,"Boston, MA"
CoreSite - Any2East,"New York, NY"
CoreSite - Any2East, "Atlanta, GA"
CoreSite - Any2West,"Los Angeles, CA"
CoreSite - Any2West,"Silicon Valley, CA"
CyrusOne Internet Exchange - CyrusOne IX Austin,"Austin, TX"
CyrusOne Internet Exchange - CyrusOne IX Dallas,"Dallas, TX"
CyrusOne Internet Exchange - CyrusOne IX Phoenix,"Phoenix, AZ"
DACS-IX Central Region,"Chicago, IL"
DACS-IX East Region,"Baltimore, MD"
DACS-IX West Region,"Silicon Valley, CA"
Dallas Internet Exchange Point - DFW-IX,"Dallas, TX"
DartNode IXP - DartNode IXP - Houston,"Houston, Texas"
Databank Internet Exchange - Databank IX Houston,"Houston, TX"
DE-CIX Chicago,"Chicago, IL"
DE-CIX Dallas,"Dallas, TX"
DE-CIX New York,"New York, NY"
DE-CIX Phoenix,"Phoenix, AZ"
DE-CIX Richmond,"Ashland, VA"
Denver IX,"Denver, CO"
DesMoines Internet Exchange - DesMoinesIX,"Des Moines, IA"
Detroit Internet Exchange - DET-IX,"Detroit, MI"
Digital Realty Ashburn Internet Exchange,"Ashburn, VA"
Digital Realty Atlanta Internet Exchange,"Atlanta, GA"
Digital Realty Chicago,"Chicago, IL"
Digital Realty Dallas Internet Exchange,"Dallas, TX"
Digital Realty New York Internet Exchange, "New York, NY"
Digital Realty New York Internet Exchange, "Clifton, NJ"
Digital Realty Phoenix Internet Exchange,"Phoenix, AZ"
DRFortress Exchange - DRF IX,"Honolulu, HI"
Equinix Internet Exchange Ashburn - Equinix Ashburn,"Ashburn, VA"
Equinix Internet Exchange Atlanta - Equinix Atlanta,"Atlanta, GA"
Equinix Internet Exchange Chicago - Equinix Chicago,"Chicago, IL"
Equinix Internet Exchange Dallas - Equinix Dallas,"Dallas, TX"
