,State,County,Risk_Score,Risk_Rating,IXP_Count,Region,Regional Electricity Demand,State Emissions Level,Utility Annual Energy Savings (MWh),SAIFI Major Events,CAIDI w/o Major Events,CAIDI w/ Major Events,Commercial Generation Rank,Total Generation Rank
60,AL,Autauga,49.220489977728285,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
61,AL,Autauga County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
62,AL,Baldwin,97.70919503658924,Relatively High,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
63,AL,Baldwin County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
64,AL,Barbour,56.188355074769326,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
65,AL,Barbour County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
66,AL,Bibb,32.48488705058861,Very Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
67,AL,Bibb County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
68,AL,Blount,65.12885777919185,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
69,AL,Blount County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
70,AL,Bullock,32.45307031498568,Very Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
71,AL,Bullock County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
72,AL,Butler,54.05663378937321,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
73,AL,Butler County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
74,AL,Calhoun,84.37798281896278,Relatively Moderate,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
75,AL,Calhoun County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
76,AL,Chambers,42.348075087496014,Very Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
77,AL,Chambers County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
78,AL,Cherokee,42.06172446706968,Very Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
79,AL,Cherokee County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
80,AL,Chilton,58.54279350938594,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
81,AL,Chilton County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
82,AL,Choctaw,74.35571110404072,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
83,AL,Choctaw County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
84,AL,Clarke,72.0967228762329,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
85,AL,Clarke County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
86,AL,Clay,22.36716512885778,Very Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
87,AL,Clay County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
88,AL,Cleburne,22.55806554247534,Very Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
89,AL,Cleburne County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
90,AL,Coffee,89.086859688196,Relatively Moderate,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
91,AL,Coffee County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
92,AL,Colbert,71.90582246261533,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
93,AL,Colbert County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
94,AL,Conecuh,47.534202990773146,Very Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
95,AL,Conecuh County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
96,AL,Coosa,7.508749602290806,Very Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
97,AL,Coosa County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
98,AL,Covington,88.70505886096086,Relatively Moderate,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
99,AL,Covington County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
100,AL,Crenshaw,46.26153356665606,Very Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
101,AL,Crenshaw County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
102,AL,Cullman,69.64683423480751,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
103,AL,Cullman County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
104,AL,Dale,79.66910594972956,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
105,AL,Dale County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
106,AL,Dallas,57.842825326121535,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
107,AL,Dallas County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
108,AL,DeKalb County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
109,AL,Dekalb,69.42411708558703,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
110,AL,Elmore,57.27012408526885,Relatively Low,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
111,AL,Elmore County,Unknown,Unknown,8.0,SE,Moderate,High,Moderate,Moderate,122.8,186.9,Low,High
