iter	Passed	Remaining
0	103	10261
1	109	5388
2	110	3586
3	142	3410
4	146	2790
5	155	2442
6	159	2118
7	165	1905
8	170	1720
9	172	1549
10	173	1403
11	182	1339
12	184	1236
13	188	1154
14	190	1080
15	192	1009
16	194	949
17	195	889
18	220	939
19	243	974
20	245	925
21	247	876
22	249	835
23	253	804
24	283	849
25	323	920
26	341	923
27	343	883
28	352	862
29	372	870
30	408	909
31	425	903
32	433	880
33	438	850
34	441	819
35	446	793
36	448	762
37	474	773
38	490	767
39	511	767
40	528	761
41	541	747
42	553	734
43	555	707
44	562	688
45	567	665
46	596	672
47	599	649
48	628	653
49	635	635
50	654	628
51	662	611
52	667	591
53	688	586
54	691	566
55	714	561
56	726	548
57	742	537
58	757	526
59	760	507
60	762	487
61	791	484
62	817	479
63	846	476
64	848	457
65	860	443
66	876	431
67	892	420
68	896	402
69	905	388
70	910	371
71	921	358
72	938	347
73	961	337
74	977	325
75	986	311
76	1005	300
77	1012	285
78	1017	270
79	1028	257
80	1045	245
81	1058	232
82	1070	219
83	1086	206
84	1088	192
85	1092	177
86	1105	165
87	1121	152
88	1142	141
89	1145	127
90	1154	114
91	1162	101
92	1169	88
93	1188	75
94	1204	63
95	1219	50
96	1220	37
97	1234	25
98	1256	12
99	1295	0
